レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限
202606060503010902,2, 82,101,2.0,3.8
202606060503010907,7, 87, 95,4.2,8.3
202606060503010904,4, 80, 88,8.4,17.3
202606060503010906,6,,,19.6,40.9
202606060503010802,2, 79, 96,11.7,53.7
202606060503010816,16, 93, 99,1.5,5.3
202606060503010804,4, 87, 92,2.5,10.0
202606060503010801,1, 84, 93,4.3,18.6
202606060503010803,3,101,106,1.1,1.1
202606060503010807,7, 87, 92,5.7,25.1
202606060503010814,14, 80, 97,5.6,24.6
202606060503010811,11, 85, 95,4.0,17.0
202606060503010812,12, 86,103,2.5,9.9
202606060503010810,10, 81, 98,4.4,19.0
202606060503010808,8, 88, 93,1.7,6.3
202606060503010806,6, 85, 91,2.9,11.8
202606060503010809,9, 82, 92,40.1,188.2
202606060503010813,13, 75, 84,61.0,287.2
202606060503010805,5, 65, 74,19.2,89.2
202606060503010815,15, 75, 80,8.3,37.6
202606060503010709,9, 81, 99,1.2,1.8
202606060503010706,6, 76, 95,1.1,1.3
202606060503010702,2, 79, 98,2.3,4.4
202606060503010710,10, 80, 99,1.3,2.3
202606060503010708,8, 79, 98,1.5,2.6
202606060503010701,1, 69, 87,13.6,28.4
202606060503010707,7,,,9.7,20.2
202606060503010713,13, 75, 93,4.2,8.4
202606060503010712,12, 69, 87,10.2,21.2
202606060503010704,4, 73, 92,18.2,38.2
202606060503010716,16, 76, 95,7.8,16.1
202606060503010705,5, 67, 85,35.5,75.1
202606060503010711,11, 29, 47,15.8,33.2
202606060503010714,14, 52, 70,46.1,97.5
202606060503010703,3,,  7,39.3,83.2
202606060503010715,15, 74, 91,7.9,16.4
202606060503010604,4, 62, 80,2.4,3.9
202606060503010613,13, 80, 95,3.3,5.6
202606060503010606,6,,,4.0,7.0
202606060503010615,15, 66, 84,5.2,9.3
202606060503010608,8, 81, 98,1.2,1.5
202606060503010611,11, 77, 95,1.4,1.9
202606060503010602,2, 66, 84,8.6,15.4
202606060503010616,16, 63, 82,7.3,13.2
202606060503010610,10, 79, 96,2.9,4.9
202606060503010609,9, 77, 94,2.6,4.5
202606060503010601,1, 67, 84,5.6,9.9
202606060503010612,12, 18, 36,34.9,63.5
202606060503010607,7, 67, 84,8.8,15.8
202606060503010605,5,,,69.7,126.9
202606060503010614,14, 69, 87,10.2,18.5
202606060503010603,3, 71, 90,1.8,3.0
202606060503010502,2,,,1.1,1.1
202606060503010501,1,,,1.2,4.5
202606060503010506,6,,,1.1,4.5
202606060503010504,4,,,2.3,11.5
202606060503010505,5,,,2.3,11.2
202606060503010507,7,,,8.7,49.9
202606060503010509,9,,,1.8,8.5
202606060503010503,3,,,5.3,29.6
202606060503010508,8,,,16.7,98.0
202606060503010402,2,,,1.7,2.3
202606060503010404,4,,,1.4,1.7
202606060503010405,5,,,1.8,2.3
202606060503010406,6,,,2.7,3.7
202606060503010407,7,,,14.7,20.5
202606060503010403,3,,,2.2,3.0
202606060503010401,1,,,18.9,26.4
202606060503010315,15, 83,100,1.1,1.4
202606060503010309,9, 83, 98,1.3,1.9
202606060503010312,12, 78, 95,1.2,1.9
202606060503010301,1, 73, 89,7.2,13.3
202606060503010304,4, 76, 91,10.8,20.0
202606060503010311,11,,,15.3,28.7
202606060503010303,3, 74, 89,2.1,3.6
202606060503010310,10, 74, 90,2.9,5.1
202606060503010314,14, 75, 91,2.9,5.0
202606060503010306,6,,,39.4,74.4
202606060503010305,5, 69, 85,3.7,6.5
202606060503010307,7, 60, 76,15.2,28.4
202606060503010316,16, 76, 91,6.1,11.1
202606060503010308,8, 44, 63,15.4,28.8
202606060503010302,2, 70, 82,56.0,105.8
202606060503010313,13, 32, 47,52.3,98.9
202606060503010215,15, 68, 87,5.7,12.4
202606060503010209,9, 82, 99,1.1,1.5
202606060503010201,1, 80, 98,1.1,1.4
202606060503010205,5, 62, 79,3.6,7.5
202606060503010213,13, 75, 93,1.5,2.7
202606060503010212,12, 67, 84,7.9,17.2
202606060503010207,7, 66, 83,5.8,12.5
202606060503010202,2, 75, 92,2.8,5.6
202606060503010203,3, 80, 96,1.9,3.7
202606060503010211,11, 67, 85,14.8,32.7
202606060503010206,6,,,4.1,8.8
202606060503010214,14, 70, 86,25.9,57.8
202606060503010216,16, 54, 71,31.8,71.3
202606060503010208,8, 71, 90,24.6,55.1
202606060503010204,4, 71, 90,11.6,25.6
202606060503010210,10, 66, 83,5.7,12.2
202606060503010114,14,,,1.3,1.9
202606060503010101,1,,,1.2,1.8
202606060503010112,12,,,2.7,4.4
202606060503010106,6,,,20.4,35.9
202606060503010109,9,,,1.4,2.2
202606060503010110,10,,,1.2,1.6
202606060503010102,2,,,17.4,30.7
202606060503010113,13,,,6.2,10.7
202606060503010107,7, 79, 67,3.3,5.6
202606060503010105,5, 91, 91,16.5,28.9
202606060503010103,3,,,5.1,8.8
202606060503010108,8,,,37.4,66.1
202606060503010111,11,,,69.5,122.9
202606060503010104,4,,,27.9,49.2
202606060903011201,1, 93, 98,1.9,2.7
202606060903011203,3, 85,101,2.5,3.7
202606060903011205,5, 87,103,1.7,2.3
202606060903011202,2, 85, 95,4.5,6.7
202606060903011216,16, 74, 84,7.6,11.6
202606060903011208,8, 87, 96,3.7,5.6
202606060903011211,11, 83, 92,6.8,10.4
202606060903011207,7, 86, 96,6.1,9.3
202606060903011215,15, 89, 98,5.9,8.9
202606060903011210,10, 86, 95,11.0,17.0
202606060903011204,4, 78, 87,18.2,28.2
202606060903011213,13, 87, 86,1.3,1.7
202606060903011209,9, 84, 99,3.7,5.5
202606060903011206,6, 85, 94,29.7,46.2
202606060903011212,12, 85, 94,1.7,2.4
202606060903011214,14,,,33.0,51.2
202606060903011102,2, 72, 65,3.8,6.3
202606060903011101,1,109,101,1.1,1.5
202606060903011106,6,101, 93,1.3,1.9
202606060903011104,4,102, 94,1.3,1.9
202606060903011103,3,103, 95,1.8,2.8
202606060903011108,8,101, 93,2.8,4.5
202606060903011107,7,101, 93,2.3,3.6
202606060903011111,11, 95, 87,8.1,13.8
202606060903011109,9, 82, 75,16.9,29.0
202606060903011105,5, 97, 89,10.1,17.2
202606060903011110,10, 94, 86,6.7,11.3
202606060903011004,4, 97, 97,1.4,2.9
202606060903011009,9, 77, 77,2.0,4.6
202606060903011002,2, 94, 94,4.6,11.7
202606060903011001,1, 99, 99,2.0,4.7
202606060903011006,6, 98,104,1.1,1.1
202606060903011005,5, 98, 98,1.2,2.3
202606060903011007,7, 93, 93,2.6,6.3
202606060903011003,3, 83, 83,14.4,38.4
202606060903011011,11, 93, 93,4.6,11.8
202606060903011008,8, 90, 99,5.5,14.2
202606060903011010,10, 91, 91,14.1,37.6
202606060903011012,12, 86, 86,24.0,64.5
202606060903010903,3, 98, 80,1.1,1.1
202606060903010904,4, 93, 99,1.1,1.8
202606060903010905,5, 92, 97,1.4,4.3
202606060903010909,9, 80, 99,1.5,4.9
202606060903010902,2, 92, 97,1.8,6.1
202606060903010901,1, 83, 92,2.3,8.2
202606060903010906,6, 81, 90,3.6,13.7
202606060903010908,8, 64, 70,20.8,83.8
202606060903010907,7, 78, 86,12.7,50.5
202606060903010805,5, 80, 99,1.7,2.5
202606060903010808,8, 82,101,1.6,2.2
202606060903010807,7, 94, 91,1.2,1.7
202606060903010804,4, 90, 98,5.3,8.3
202606060903010806,6, 91, 96,1.3,1.8
202606060903010803,3, 91, 96,1.3,1.8
202606060903010801,1, 80, 89,23.7,37.6
202606060903010802,2, 80, 99,3.6,5.7
202606060903010809,9, 86, 94,5.4,8.5
202606060903010705,5, 75, 90,2.2,8.4
202606060903010703,3, 59, 75,6.4,27.2
202606060903010714,14, 74, 92,2.3,8.6
202606060903010711,11, 82, 99,1.4,4.1
202606060903010709,9, 80, 97,2.1,7.9
202606060903010702,2, 83, 99,1.1,1.1
202606060903010710,10,,,16.3,72.0
202606060903010704,4, 48, 67,35.1,157.6
