レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010201,2026.4.12,日,福島,1福2,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
3,,6,,,,,ファストワーカー,,牝,3,14,1,4,中山,D,1200,稍,11,12,未勝利・牝,40.1,後方,12,10,11,東京,D,1300,良,16,6,未勝利*,40.7,中団,2,9,27,中山,T,1600,良,15,6,新馬,37.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ブルーアンバー,,牝,3,15,12,27,中山,D,1200,稍,13,15,未勝利・牝*,39.3,中団,2,12,13,中山,D,1200,良,10,12,未勝利・牝*,40.2,中団,11,9,27,中山,T,1600,良,15,15,未勝利*,36.5,中団,3,9,6,中山,T,1600,良,9,9,未勝利*,36.7,先行,2,8,23,新潟,T,1600,良,9,13,新馬,34.2,後方,初
4,,8,,,,,ケイツーキップ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,リベラル,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ヒデガミティアラ,,牝,3,11,1,25,小倉,T,1200,良,10,17,新馬,35.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,パラフローラ,,牝,3,10,2,1,小倉,T,1200,良,7,9,新馬,35.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ジーティーソレイユ,,牝,3,13,1,12,中山,D,1200,良,6,6,未勝利,38.3,中団,8,11,16,東京,T,1400,良,6,7,未勝利・牝*,33.9,後方,7,9,27,中山,T,1600,良,10,10,未勝利*,36.3,先行,8,8,2,新潟,T,1800,良,9,4,新馬,34.4,中団,初,,,,,,,,,,,,
7,,13,,,,,ブロークンハート,,牝,3,11,1,25,小倉,T,1200,良,5,12,新馬,34.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,タガノアルブラック,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,サチノブーケ,,牝,3,10,2,1,小倉,T,1200,良,8,17,新馬,35.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ルナーファントム,,牡,3,3,3,21,中京,T,1400,良,4,11,未勝利,35.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010205,2026.4.12,日,福島,1福2,5,,未勝利,芝,1800,A,4,良(暫定),晴(暫定),16,12:00,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ワンダーシャッフル,,牡,3,3,3,22,中京,T,2000,良,4,6,未勝利,35.7,差し,3,3,1,小倉,T,1800,良,4,16,未勝利,36.4,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ウインラファーガ,,牡,3,15,12,27,中山,T,2000,良,7,6,未勝利*,37.4,逃げ,6,11,15,福島,T,2000,良,6,7,未勝利*,36.1,中団,5,10,12,東京,T,1600,良,7,5,未勝利*,34.5,後方,7,8,24,新潟,T,2000,良,5,4,新馬,37.1,先行,初,,,,,,,,,,,,
2,,3,,,,,ワールドブレイヴ,,牡,3,13,1,11,中山,T,2200,良,9,11,未勝利,36.5,中団,4,12,14,中京,T,2000,稍,8,8,未勝利*,36.4,先行,2,11,30,東京,D,1600,良,9,9,未勝利*,39.3,中団,8,10,5,東京,D,1400,良,7,11,未勝利*,37.5,後方,5,8,30,札幌,D,1700,重,12,12,新馬,40.5,中団,初
2,,4,,,,,レガリーノ,,牝,3,14,1,5,中山,T,1600,良,10,8,新馬,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ホワイトオパール,,牝,3,16,12,20,中山,T,1800,良,13,11,新馬・牝,35.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,アーデルブリックス,,牡,3,10,1,31,小倉,T,1800,良,7,8,未勝利,36.7,先行,5,12,27,中山,T,1600,良,7,5,新馬,35.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
