レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010501,2026.5.16,土,新潟,1新5,1,,未勝利,ダート,1800,,4,良(暫定),晴(暫定),15,10:05,,馬齢,３歳
4,,4,,,,,スマートスピア,,牡,5,9,3,14,中京,D,1800,良,2,2,中京スＨ･2勝,36.5,先行,3,2,22,小倉,D,1700,良,2,7,和布刈特･2勝,36.8,差し,18,10,19,東京,D,1600,良,3,5,西湖特別･2勝,36.4,先行,2,10,5,東京,D,1600,良,3,4,２勝ｸﾗｽ,36.2,差し,6,8,23,中京,T,1600,良,8,5,有松特別･2勝,33.7,中団,36
5,,5,,,,,ソニックステップ,,牡,4,5,4,12,阪神,D,1800,稍,1,1,１勝ｸﾗｽ,37.3,先行,4,3,14,阪神,D,1800,良,2,1,１勝ｸﾗｽ,37.0,先行,2,2,28,阪神,D,1400,良,4,1,１勝ｸﾗｽ,36.7,先行,43,5,3,新潟,D,1800,稍,7,9,わらび賞･1勝,38.4,中団,8,3,8,阪神,D,1800,良,6,3,１勝ｸﾗｽ*,38.9,中団,5
6,B,6,,,,,マーゴットゲイン,,牡,4,10,3,8,中山,D,1800,稍,7,6,２勝ｸﾗｽ,39.9,中団,3,2,15,東京,D,1400,良,14,5,２勝ｸﾗｽ,36.5,後方,11,11,29,東京,T,1600,良,5,7,２勝ｸﾗｽ,34.0,後方,3,11,8,東京,D,2100,良,7,3,神奈川新･2勝,37.9,中団,12,8,17,新潟,D,1800,良,1,2,１勝ｸﾗｽ,37.2,先行,3
7,,7,,,,,プラニスフェリオ,,牡,6,9,3,15,阪神,D,1800,良,7,10,２勝ｸﾗｽ,38.0,後方,2,2,28,小倉,T,2000,稍,12,14,別府特別･2勝,37.4,先行,6,1,18,中山,T,2200,良,10,14,２勝ｸﾗｽ,34.7,中団,51,1,26,小倉,T,2600,良,14,12,海の中道･2勝,36.5,中団,2,1,11,中京,T,2000,良,10,8,渥美特別･2勝,36.7,中団,50
8,,8,,,,,ディアウス,,牡,4,11,2,28,小倉,D,1700,重,7,1,早鞆特Ｈ･2勝,37.8,中団,3,2,8,小倉,D,1700,良,2,5,由布院特･2勝,38.4,先行,25,8,17,札幌,D,1700,稍,1,1,１勝ｸﾗｽ,37.4,先行,3,7,26,札幌,D,1700,良,1,1,未勝利,38.5,逃げ,9,5,25,京都,D,1400,不,3,1,未勝利,36.6,先行,3
8,B,9,,,,,カレンワッツアップ,,牡,5,7,3,29,中京,D,1400,良,11,3,鈴鹿特別･2勝,36.7,中団,16,12,7,中京,D,1400,良,1,3,１勝ｸﾗｽ,36.0,追込,15,8,23,新潟,D,1800,良,3,2,１勝ｸﾗｽ,38.9,逃げ,4,7,26,中京,D,1800,良,4,3,１勝ｸﾗｽ,38.0,先行,9,5,24,新潟,D,1800,良,2,2,１勝ｸﾗｽ・若,39.0,先行,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010511,2026.5.16,土,新潟,1新5,11,新潟大賞典,Ｇ３,芝,2000,B,2,良(暫定),晴(暫定),16,15:45,,ﾊﾝﾃﾞ,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ホールネス,,牝,6,7,3,28,中山,T,2500,良,9,14,日経賞G2,36.8,中団,62,1,19,中京,T,2200,良,14,5,日経新春ＨG2,38.4,中団,10,11,10,京都,T,2200,良,3,2,エリザベG1,34.4,差し,3,10,20,新潟,T,2200,良,1,1,新潟牝馬(L),36.1,差し,18,6,16,京都,T,2000,良,3,6,マーメイＨG3,34.3,差し,12
2,,2,,,,,ラインベック,,セ,9,5,4,12,福島,T,2000,良,8,12,福島民報(L),35.3,中団,23,11,2,京都,T,1600,良,9,11,まほろＨ(L),34.1,中団,5,9,28,阪神,T,1600,良,5,10,ポートア(L),33.8,中団,7,8,9,新潟,T,1800,良,2,11,関越ＳＨ,32.7,先行,19,3,30,阪神,T,1600,良,11,10,六甲Ｓ(L),36.0,中団,3
2,,3,,,,,グランディア,,セ,7,10,3,8,阪神,T,1800,良,3,2,大阪城Ｓ(L),34.4,差し,9,1,4,中山,T,2000,良,3,4,中山金杯ＨG3,34.0,差し,2,12,21,中山,T,1800,重,2,3,ディセン(L),34.9,差し,25,6,29,函館,T,2000,良,13,5,函館記念ＨG3,36.5,中団,11,4,13,福島,T,2000,良,5,1,福島民報(L),34.8,後方,6
3,,4,,,,,アンゴラブラック,,牝,5,10,3,7,中山,T,1800,稍,13,1,中山牝馬ＨG3,36.5,中団,9,1,4,中山,T,2000,良,2,1,中山金杯ＨG3,34.1,差し,12,10,12,東京,T,1800,良,2,6,アイルラG2,33.0,先行,15,6,28,福島,T,2000,良,1,1,バーデン･3勝,35.9,先行,10,4,20,中山,T,2000,良,1,1,野島崎特･2勝,33.9,先行,8
3,B,5,,,,,グランドカリナン,,牡,6,連,5,10,東京,T,2400,良,10,8,メトロポ(L),35.9,先行,4,4,11,阪神,T,2600,良,5,13,大阪―ハＨ,34.5,逃げ,19,11,29,東京,T,1600,良,12,18,キャピタ(L),34.4,中団,7,10,13,東京,T,2000,良,14,12,オクトＨ(L),35.0,先行,6,8,31,新潟,T,2000,良,15,14,新潟記念G3,33.8,後方,11
4,,6,,,,,ドゥラドーレス,,牡,7,9,3,15,中京,T,2000,良,5,2,金鯱賞G2,33.9,中団,7,1,25,中山,T,2200,良,2,1,アメリカG2,34.5,差し,18,9,21,中山,T,2200,良,2,2,オールカG2,34.4,ﾏｸﾘ,10,7,13,福島,T,2000,良,2,1,七夕賞ＨG3,35.4,先行,9,5,10,東京,T,1800,稍,2,1,エプソムG3,34.1,追込,13
4,,7,,,,,トーセンリョウ,,牡,7,10,3,8,阪神,T,1800,良,7,3,大阪城Ｓ(L),34.0,後方,21,10,13,東京,T,2000,良,2,5,オクトＨ(L),33.7,差し,17,6,14,東京,T,1800,良,3,3,ジューン,33.7,追込,5,5,10,東京,T,1800,稍,3,10,エプソムG3,34.1,追込,9,3,9,阪神,T,1800,良,2,4,大阪城Ｓ(L),33.5,差し,5
5,,8,,,,,ヤマニンブークリエ,,牡,4,13,2,14,ｻｳｼﾞ,T,2100,良,5,--,ネオＴG1,----,不明,4,1,18,京都,T,2400,良,7,5,日経新春ＨG2,34.6,先行,12,10,26,京都,T,3000,稍,16,7,菊花賞G1,37.3,中団,6,9,15,中山,T,2200,良,2,8,セントラG2,34.4,差し,12,6,21,東京,T,2400,良,1,2,町田特Ｈ･2勝,34.8,先行,8
5,,9,,,,,フクノブルーレイク,,牡,4,2,5,3,東京,T,2000,良,5,5,府中Ｓ･3勝,34.7,中団,4,4,5,中山,T,2000,稍,4,6,美浦Ｓ･3勝,34.8,差し,13,1,4,京都,T,2000,良,3,6,寿Ｓ･3勝,33.6,先行,3,12,13,中山,T,1800,良,8,3,常総Ｓ･3勝,34.1,中団,3,11,23,東京,T,1600,良,10,9,秋色ＳＨ･3勝,33.4,後方,13
6,,10,,,,,サフィラ,,牝,5,9,3,15,中京,T,2000,良,9,12,金鯱賞G2,33.9,中団,4,2,15,京都,T,2200,良,5,7,京都記念G2,33.9,中団,13,11,16,京都,T,2200,良,7,15,エリザベG1,34.8,後方,5,10,12,東京,T,1800,良,12,7,アイルラG2,33.8,中団,21,5,18,東京,T,1600,良,13,9,ヴィクトG1,34.8,先行,5
6,,11,,,,,バレエマスター,,牡,7,5,4,12,福島,T,2000,良,7,8,福島民報(L),34.6,後方,2,3,29,阪神,T,1600,良,8,12,六甲Ｓ(L),33.8,後方,9,1,24,京都,T,1600,良,13,13,睦月Ｓ,33.2,後方,5,12,21,中山,T,1800,重,11,8,ディセン(L),34.6,後方,5,11,15,京都,T,2000,良,4,7,アンドロ(L),34.7,差し,3
7,,12,,,,,セキトバイースト,,牝,5,9,3,15,中京,T,2000,良,11,9,金鯱賞G2,35.8,先行,17,11,16,京都,T,2200,良,6,10,エリザベG1,35.3,先行,5,10,12,東京,T,1800,良,10,3,アイルラG2,33.8,先行,16,6,22,東京,T,1800,良,1,5,府中牝馬ＨG3,35.2,先行,4,5,25,京都,T,1800,稍,1,8,都大路Ｈ(L),35.6,先行,5
7,B,13,,,,,シュトルーヴェ,,セ,7,13,2,14,ｻｳｼﾞ,T,3000,良,8,--,ＲＴＨG2,----,不明,11,11,30,東京,T,2400,良,10,17,ＪＣG1,34.9,後方,3,11,9,東京,T,2500,良,5,6,アルゼンＨG2,34.0,後方,12,8,17,札幌,T,2000,稍,7,7,札幌記念G2,36.4,中団,25,2,22,東京,T,3400,良,5,3,ダイヤモＨG3,35.3,中団,9
8,,14,,,,,シンハナーダ,,牡,5,15,1,31,東京,T,2000,良,7,5,白富士Ｓ(L),33.5,後方,7,12,13,中京,T,2000,良,4,2,中日新聞ＨG3,33.2,差し,7,10,25,新潟,T,2000,良,1,2,魚沼Ｓ･3勝,32.7,差し,19,6,15,東京,T,2400,稍,5,3,江の島Ｓ･3勝,36.6,後方,5,5,11,東京,T,2000,良,1,1,２勝ｸﾗｽ,33.3,先行,10
8,,15,,,,,シュガークン,,牡,5,103,5,26,東京,T,2400,良,7,8,東京優駿G1,34.7,先行,4,4,27,東京,T,2400,良,1,2,青葉賞G2,33.9,差し,5,3,24,中京,T,2200,重,1,1,大寒桜賞･1勝,35.6,逃げ,4,2,24,阪神,T,2000,稍,1,1,未勝利,34.5,先行,3,2,4,京都,T,1600,良,2,1,新馬,34.7,差し,初
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010512,2026.5.16,土,新潟,1新5,12,,1勝,芝,1400,B,2,良(暫定),晴(暫定),16,16:30,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ラトラース,,セ,4,5,4,11,福島,T,1800,良,13,5,浄土平特･1勝,36.9,中団,7,2,22,小倉,T,1800,良,6,4,高千穂特･1勝,35.8,先行,3,2,1,小倉,T,1800,良,11,2,１勝ｸﾗｽ・若,35.2,中団,16,10,12,京都,T,1600,良,4,1,１勝ｸﾗｽ,34.0,先行,15,6,28,小倉,T,1800,良,1,1,未勝利,36.6,先行,3
1,,2,,,,,ホリーアン,,牝,4,3,4,25,福島,T,1200,良,8,12,１勝ｸﾗｽ・若,33.6,後方,連,4,18,福島,T,1200,良,12,15,１勝ｸﾗｽ,34.0,後方,8,2,22,小倉,T,1200,良,10,14,１勝ｸﾗｽ・牝,34.1,後方,3,2,1,小倉,T,1200,良,8,15,１勝ｸﾗｽ,33.7,後方,10,11,24,東京,T,1600,良,15,18,１勝ｸﾗｽ,34.2,後方,2
2,,3,,,,,ラヴスコール,,牝,5,2,5,3,新潟,T,1400,良,4,5,１勝ｸﾗｽ・牝,35.0,差し,8,3,7,中山,T,1600,稍,10,12,１勝ｸﾗｽ,36.2,後方,11,12,20,中京,T,1400,稍,7,11,１勝ｸﾗｽ,34.2,後方,15,9,6,札幌,T,1500,良,2,12,１勝ｸﾗｽ,35.2,差し,3,8,17,札幌,T,1500,稍,12,6,１勝ｸﾗｽ・牝,36.1,後方,9
2,,4,,,,,ピリカサンライズ,,牝,4,12,2,21,小倉,D,1700,良,13,16,１勝ｸﾗｽ,39.0,後方,2,2,8,小倉,D,1700,良,8,10,１勝ｸﾗｽ・牝,38.2,後方,11,11,24,福島,T,2000,良,13,9,１勝ｸﾗｽ,35.3,中団,16,8,2,札幌,D,1700,良,11,9,１勝ｸﾗｽ,39.8,中団,3,7,13,函館,T,1800,良,12,7,１勝ｸﾗｽ・牝,34.6,後方,3
3,,5,,,,,ピアストイヤーズ,,牡,4,3,4,26,福島,T,1200,良,3,3,１勝ｸﾗｽ,33.7,差し,2,4,12,福島,T,1200,良,3,4,１勝ｸﾗｽ,33.9,差し,10,1,31,小倉,T,1200,良,11,2,１勝ｸﾗｽ,34.4,中団,10,11,24,福島,T,1200,良,4,4,１勝ｸﾗｽ,34.6,先行,2,11,9,福島,T,1200,良,2,4,１勝ｸﾗｽ,35.0,先行,14
3,,6,,,,,オーケーダイナ,,牝,4,12,2,21,阪神,T,1600,良,14,13,１勝ｸﾗｽ,34.4,後方,2,2,7,小倉,T,1200,稍,13,9,１勝ｸﾗｽ・牝,34.5,後方,22,9,7,札幌,T,1200,稍,5,8,１勝ｸﾗｽ,35.0,中団,連,8,30,札幌,T,1200,稍,5,3,１勝ｸﾗｽ,35.1,中団,7,7,13,函館,T,1200,良,3,4,１勝ｸﾗｽ,34.9,差し,2
4,,7,,,,,アテンスマイル,,牝,5,14,2,11,姫路,D, 800,稍,1,1,福留孝,----,先行,3,1,15,園田,D,1230,良,4,5,ネコニ,----,先行,4,12,23,園田,D,1230,稍,3,5,峯相記,----,逃げ,3,12,3,園田,D,1230,良,12,4,パカや,----,中団,3,11,12,園田,D, 820,稍,5,4,Ｃ３一,----,中団,連
4,B,8,,,,,カシオペア,,牡,4,60,3,23,中京,T,1400,良,1,9,未勝利,34.3,追込,17,11,23,東京,T,1400,良,13,3,未勝利*,35.1,後方,6,10,14,東京,T,1400,良,3,7,未勝利*,33.2,追込,2,9,29,中山,T,1200,良,12,3,新馬,34.6,後方,初,,,,,,,,,,,,
5,,9,,,,,シャインズオンユー,,牡,5,3,4,25,京都,T,1400,良,13,16,１勝ｸﾗｽ,33.4,後方,連,4,19,福島,T,1200,良,14,13,須賀川特･1勝,33.4,後方,3,3,29,阪神,T,1400,良,13,7,１勝ｸﾗｽ,34.9,後方,6,2,14,小倉,T,1200,良,10,5,１勝ｸﾗｽ,34.7,後方,連,2,8,小倉,T,1200,良,4,14,１勝ｸﾗｽ,33.5,追込,9
5,,10,,,,,サンタアニタ,,牝,4,21,12,20,中京,T,1400,稍,2,5,１勝ｸﾗｽ,34.3,差し,4,11,24,東京,D,1400,良,3,3,１勝ｸﾗｽ,36.5,先行,3,11,1,東京,D,1400,重,5,2,１勝ｸﾗｽ・牝,36.3,中団,3,10,12,東京,D,1400,良,3,2,１勝ｸﾗｽ・牝,36.6,逃げ,4,9,13,中山,D,1200,不,2,1,１勝ｸﾗｽ,36.2,先行,9
6,,11,,,,,ワンコールアウェイ,,牝,4,7,3,29,阪神,T,1400,良,8,1,１勝ｸﾗｽ,34.8,先行,2,3,14,中京,T,1400,良,2,3,１勝ｸﾗｽ・牝,34.7,差し,39,6,15,阪神,T,1400,重,1,1,未勝利,35.5,差し,3,5,24,京都,T,1400,良,2,4,未勝利,34.9,差し,2,5,10,新潟,T,1600,稍,4,2,未勝利,35.3,差し,6
6,,12,,,,,アクイローネ,,牡,5,11,3,1,小倉,T,2000,良,15,18,唐戸特別･1勝,36.1,中団,2,2,14,小倉,T,1800,良,10,10,１勝ｸﾗｽ,35.6,中団,2,1,31,小倉,T,2000,良,13,11,１勝ｸﾗｽ,37.5,中団,7,12,14,中山,T,1800,稍,5,13,１勝ｸﾗｽ,35.8,先行,13,9,16,大井,D,2000,稍,1,1,くじら,----,先行,5
7,,13,,,,,シュードタキライト,,牡,4,2,5,2,新潟,T,1600,稍,4,7,１勝ｸﾗｽ,36.8,先行,2,4,19,福島,T,1800,良,11,13,１勝ｸﾗｽ,36.3,後方,3,3,28,中京,T,2000,良,12,11,１勝ｸﾗｽ,34.5,中団,6,2,14,小倉,T,1800,良,11,14,１勝ｸﾗｽ,34.6,後方,連,2,7,小倉,D,1700,良,12,12,１勝ｸﾗｽ,40.0,後方,8
7,,14,,,,,バム,,牡,4,14,2,10,東京,D,1300,稍,12,14,１勝ｸﾗｽ,38.5,中団,連,2,1,東京,D,1600,良,13,15,１勝ｸﾗｽ,39.3,中団,2,1,17,中山,D,1200,良,12,16,１勝ｸﾗｽ,38.3,中団,10,11,11,金沢,D,1400,稍,1,1,サラ系,----,逃げ,2,10,28,金沢,D,1500,重,1,1,サラ系,----,逃げ,15
8,B,15,,,,,フォレストゲート,,牡,5,18,1,11,中山,D,1800,良,13,13,１勝ｸﾗｽ,39.7,後方,連,1,5,中山,D,2400,稍,10,13,１勝ｸﾗｽ,43.0,後方,12,10,13,東京,D,2100,良,14,13,１勝ｸﾗｽ,41.2,後方,18,6,10,大井,D,1600,稍,4,4,蛍坂賞,----,差し,2,5,23,大井,D,1600,良,1,6,サラ系,----,追込,5
8,B,16,,,,,エイヘンハールト,,牡,4,4,4,18,阪神,T,1600,良,4,3,１勝ｸﾗｽ,32.5,差し,4,3,22,中京,T,1400,良,2,2,１勝ｸﾗｽ,33.8,差し,13,12,20,中京,T,1400,稍,4,1,１勝ｸﾗｽ,34.7,差し,2,12,7,中京,T,1400,良,2,4,１勝ｸﾗｽ,33.7,差し,15,8,24,中京,T,1400,良,1,2,未勝利,34.4,先行,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051605020701,2026.5.16,土,東京,2東7,1,,未勝利,ダート,1400,,2,良(暫定),晴(暫定),16,09:50,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,オーシャンステラ,,牝,3,4,4,18,中山,D,1200,良,4,3,未勝利・牝,36.6,差し,3,3,28,中山,D,1200,重,3,3,未勝利・牝,37.0,差し,10,1,17,中山,T,1600,良,8,8,菜の花賞･1勝,34.3,後方,11,11,2,東京,T,1600,良,6,4,未勝利*,35.6,先行,10,8,23,札幌,T,1800,稍,4,2,未勝利*,37.3,先行,3
1,,2,,,,,ガーデンバイザベイ,,牝,3,4,4,18,福島,T,2000,良,16,14,未勝利・牝,39.1,逃げ,10,2,10,東京,T,1600,良,10,8,新馬,35.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,メリティス,,牝,3,2,5,3,東京,D,1600,稍,5,5,未勝利・牝,38.6,中団,13,2,1,東京,D,1600,良,7,3,未勝利・牝,39.2,中団,13,11,1,東京,D,1400,不,4,4,新馬,36.0,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,フェスティヴハート,,牝,3,11,3,4,川崎,D,1400,不,5,1,アクア,----,先行,5,1,25,中山,D,1200,良,6,6,未勝利,39.1,先行,7,12,7,中山,D,1200,良,3,7,未勝利*,38.2,差し,3,11,15,東京,D,1400,良,7,3,未勝利・牝*,40.0,先行,3,10,25,東京,D,1400,稍,4,11,新馬,37.6,先行,初
3,,5,,,,,トリエンナーレ,,牝,3,8,3,21,中京,D,1200,良,7,12,未勝利・牝,37.8,後方,10,1,11,中山,D,1800,良,15,8,未勝利・牝,45.8,中団,8,11,16,東京,D,1600,良,7,9,新馬,37.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ホウオウデンファレ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ホテルストリート,,牝,3,3,4,25,福島,D,1700,良,3,4,未勝利・牝,39.4,先行,2,4,12,福島,D,1700,良,5,2,未勝利・牝,38.6,中団,9,2,10,東京,D,1600,稍,5,3,未勝利・牝,38.7,逃げ,14,11,2,東京,D,1400,重,8,6,未勝利*,36.7,後方,2,10,18,東京,T,1400,良,11,5,新馬・牝,34.3,中団,初
4,,8,,,,,ニューハイ,,牝,3,7,3,29,中山,D,1800,稍,13,14,未勝利・牝,42.2,後方,11,1,10,中山,D,1800,良,9,11,新馬・牝,41.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ハクサンミレイ,,牝,3,3,4,26,東京,D,1400,稍,9,7,未勝利・牝,37.5,後方,6,3,15,中京,D,1400,良,8,12,未勝利,37.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,カーボフリオ,,牝,3,3,4,26,東京,D,1400,稍,4,8,未勝利・牝,37.0,差し,3,4,4,中山,D,1200,稍,8,8,未勝利,38.9,先行,7,2,14,京都,D,1200,稍,6,8,未勝利,38.1,先行,2,1,31,京都,D,1200,良,11,8,未勝利・牝,37.7,中団,8,12,6,中京,D,1400,良,7,3,未勝利・牝*,39.2,中団,13
6,,11,,,,,カーマインジュエル,,牝,3,8,3,19,浦和,D,1400,良,2,5,ツイン,----,先行,12,12,27,中山,D,1200,稍,14,8,未勝利・牝*,39.2,中団,10,10,19,東京,D,1600,良,11,11,新馬,39.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,オルナータス,,牝,3,7,3,29,中山,D,1800,稍,14,12,未勝利・牝,42.9,後方,8,1,31,東京,D,1400,良,15,15,未勝利・牝,39.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,アクロスメモリア,,牝,3,10,3,7,中山,D,1200,重,12,3,未勝利,39.4,中団,9,1,4,中山,D,1200,稍,3,4,未勝利・牝,39.2,先行,3,12,13,中山,D,1200,良,5,2,未勝利・牝*,39.4,中団,6,11,2,東京,D,1400,重,11,3,未勝利*,38.8,先行,3,10,12,東京,D,1300,良,3,7,新馬,36.4,追込,初
7,,14,,,,,ムルーデ,,牝,3,8,3,21,中京,D,1200,良,6,8,未勝利・牝,37.6,後方,15,12,6,中京,T,1200,良,7,18,未勝利*,33.9,後方,10,9,28,阪神,T,1400,良,11,9,未勝利・牝*,36.3,中団,4,8,31,中京,T,1400,良,5,12,未勝利*,35.5,中団,6,7,19,小倉,T,1800,稍,5,5,未勝利*,38.9,中団,連
8,B,15,,,,,フォワードシャッセ,,牝,3,8,3,22,中山,T,1600,良,7,5,未勝利,36.6,先行,13,12,21,中山,T,1600,重,11,2,新馬,37.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,グラデュエール,,牝,3,4,4,18,中山,D,1200,良,6,13,未勝利・牝,37.3,中団,5,3,15,中山,D,1200,良,10,15,未勝利・牝,37.0,後方,8,1,17,中山,D,1200,良,9,13,未勝利,39.2,中団,4,12,21,中山,T,1600,重,14,16,新馬,38.7,後方,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051605020702,2026.5.16,土,東京,2東7,2,,未勝利,ダート,1600,,2,良(暫定),晴(暫定),16,10:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ヴレクール,,牡,3,3,4,26,東京,T,1800,良,16,17,未勝利,35.5,中団,4,3,28,中京,T,1600,良,13,16,未勝利,36.3,中団,15,12,13,中山,D,1800,良,12,11,未勝利*,43.3,後方,3,11,24,東京,T,2000,良,12,13,未勝利*,36.1,中団,2,11,8,東京,T,1800,良,9,13,新馬,34.3,後方,初
1,,2,,,,,ギリーカラム,,牡,3,10,3,8,中山,T,1800,良,10,5,未勝利,36.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,オーパパ,,牡,3,9,3,14,中山,D,1800,良,13,7,未勝利,42.6,後方,5,2,8,小倉,D,1700,良,9,10,未勝利,40.6,後方,5,1,4,中山,D,1800,稍,11,4,未勝利,44.2,後方,9,11,1,東京,D,1600,不,6,9,未勝利*,37.0,中団,2,10,18,東京,T,1600,良,7,10,新馬,34.7,先行,初
2,,4,,,,,サングラント,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,5,,,,,アオイミズホ,,牡,3,4,4,19,中山,D,1800,良,3,4,未勝利,41.1,先行,4,3,21,中山,D,1800,良,3,2,未勝利,40.1,先行,4,2,21,東京,D,1600,良,9,5,未勝利,38.5,後方,2,2,7,東京,D,1600,良,3,2,未勝利,37.4,差し,8,12,13,中山,D,1800,良,4,1,未勝利*,39.2,差し,6
3,B,6,,,,,マーゴットライズ,,牡,3,3,4,26,東京,T,1800,良,14,7,未勝利,34.5,後方,16,1,5,中山,T,2000,良,17,7,未勝利,36.7,後方,13,10,4,東京,T,1800,良,8,3,新馬,34.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,マジックオーラ,,牡,3,2,5,3,東京,T,1800,良,9,14,未勝利,34.6,中団,13,1,31,東京,T,1600,良,11,14,未勝利,35.9,中団,7,12,13,中京,T,1600,良,10,10,未勝利*,34.8,後方,3,11,24,東京,T,1400,良,11,11,新馬,33.6,後方,初,,,,,,,,,,,,
4,,8,,,,,クイーンオブハート,,牝,3,2,5,3,新潟,D,1200,稍,12,14,未勝利,39.9,中団,12,2,10,高知,D,1400,良,12,7,足摺盃,----,後方,14,11,1,東京,T,1400,稍,11,9,未勝利*,34.4,後方,3,10,11,東京,T,1600,良,10,9,未勝利・牝*,35.9,中団,4,9,15,中山,D,1200,良,9,9,未勝利*,39.8,後方,4
