レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030102,2026.6.6,土,東京,3東1,2,,未勝利,ダート,1600,,2,稍,曇,16,10:40,牝,馬齢,３歳
2026060609030104,2026.6.6,土,阪神,3阪1,4,,未勝利,芝,1200,B,2,良(暫定),晴(暫定),16,11:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,チョウギャル,,牝,3,10,3,29,中京,T,1200,良,12,15,未勝利,35.5,中団,9,1,25,小倉,T,1200,良,14,15,未勝利,35.0,中団,15,10,11,京都,D,1200,良,11,10,新馬,41.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ドゥボヌール,,牝,3,2,5,24,新潟,T,1200,稍,4,9,未勝利,36.3,先行,17,1,25,小倉,T,1200,良,8,9,新馬,35.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,タナブイハチターボ,,牡,3,3,5,16,京都,T,1400,良,2,2,未勝利,34.2,先行,2,5,2,京都,T,1400,稍,2,4,未勝利,34.2,逃げ,3,4,12,阪神,T,1600,良,5,6,未勝利,35.3,先行,2,3,28,阪神,T,1600,良,2,5,未勝利,35.0,先行,8,2,1,京都,D,1200,良,7,4,未勝利,38.4,先行,2
2,,4,,,,,スイートポメロ,,牝,3,4,5,9,新潟,T,1200,良,4,8,未勝利・若,36.8,先行,3,4,19,福島,T,1200,良,3,14,未勝利,34.7,先行,9,2,14,小倉,T,1200,良,18,14,未勝利,37.7,後方,7,12,28,阪神,T,1400,良,17,11,未勝利*,37.7,逃げ,連,12,21,中京,T,1400,稍,外,--,未勝利*,----,,2
3,,5,,,,,ハクサンテドリガワ,,牝,3,10,3,28,阪神,D,1200,稍,7,4,未勝利,38.6,先行,3,3,7,阪神,T,1600,良,7,13,未勝利,35.3,先行,24,9,20,阪神,T,1600,良,6,9,新馬,33.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,プリュスエクラ,,牝,3,4,5,9,京都,T,1400,良,4,8,未勝利,34.4,逃げ,8,3,15,阪神,D,1400,良,14,9,未勝利・牝,40.7,逃げ,5,2,7,京都,T,1600,良,11,7,未勝利・牝,36.0,中団,9,12,7,中京,T,1600,良,4,10,未勝利*,34.4,差し,2,11,22,京都,T,1600,良,6,4,新馬,35.7,中団,初
4,,7,,,,,タマモパルファン,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,8,,,,,ハギノデュア,,牝,3,9,4,4,阪神,D,1800,稍,14,13,未勝利・牝,40.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,リアララ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ルビーブロンド,,牝,3,6,4,26,福島,T,1200,良,9,8,未勝利,35.0,中団,9,2,21,小倉,T,1200,良,8,11,未勝利・牝,34.6,後方,10,12,13,中京,T,1600,良,11,12,未勝利*,36.2,先行,3,11,22,福島,D,1700,良,11,14,未勝利*,40.8,後方,3,11,2,京都,D,1400,稍,7,12,新馬,37.9,中団,初
6,,11,,,,,リアンマカ,,牡,3,9,4,7,川崎,D,1500,重,5,8,エイプ,----,中団,15,12,21,中京,T,1400,稍,17,16,未勝利*,36.2,後方,13,9,21,阪神,T,1600,良,11,12,未勝利*,36.4,後方,2,9,6,阪神,D,1400,重,8,7,未勝利*,39.0,後方,9,7,5,福島,T,1200,稍,6,6,新馬,35.3,先行,初
6,,12,,,,,アンガーザガール,,牝,3,16,2,15,京都,T,1600,良,3,3,未勝利,35.2,先行,3,1,24,京都,T,1400,良,2,6,未勝利,34.9,差し,6,12,13,阪神,D,1400,良,12,5,未勝利・牝*,40.4,逃げ,10,10,5,京都,D,1400,重,4,7,未勝利*,37.2,差し,3,9,13,阪神,D,1400,良,6,1,新馬・牝,39.7,中団,初
7,,13,,,,,オラロア,,牡,3,10,3,28,中京,D,1400,稍,13,2,未勝利,40.6,逃げ,10,1,18,中山,T,1600,良,6,6,新馬,35.4,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,タマモマリアージュ,,牝,3,13,3,11,名古,D,1500,良,6,3,名古屋,----,中団,11,12,21,中京,D,1400,稍,14,15,新馬,40.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,15,,,,,カルロット,,牡,3,2,5,23,京都,T,1200,良,2,4,未勝利,33.5,追込,12,3,1,阪神,D,1400,良,16,1,未勝利,42.3,先行,4,1,31,京都,D,1400,良,3,1,未勝利,37.7,逃げ,4,1,5,京都,T,1600,良,5,3,未勝利,34.5,後方,10,10,26,京都,T,1600,稍,2,1,未勝利*,37.2,逃げ,5
8,,16,,,,,フェイトブレイカー,,セ,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060609030105,2026.6.6,土,阪神,3阪1,5,,新馬,芝,1600,B,2,良(暫定),晴(暫定),18,12:15,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,タイドビート,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,シャプシュ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ロジクラウン,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,シャインラブ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ジーティーサクラ,,牝,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,エコロラーダ,,牡,2,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060609030106,2026.6.6,土,阪神,3阪1,6,,未勝利,ダート,1800,,4,良(暫定),晴(暫定),16,12:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ロードファイター,,牡,3,2,5,23,京都,D,1800,稍,4,7,未勝利,39.4,差し,3,5,2,京都,D,1800,重,5,7,未勝利,37.9,中団,2,4,19,阪神,D,1400,良,8,10,未勝利,37.9,後方,15,1,4,京都,D,1800,良,8,8,未勝利,38.9,中団,3,12,13,阪神,D,1800,良,5,4,未勝利*,40.0,先行,3
1,,2,,,,,クールブレーブ,,牝,3,3,5,16,京都,D,1400,良,13,15,未勝利・牝,38.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,3,,,,,ジーティーピカソ,,牡,3,11,3,22,中京,D,1800,良,8,2,未勝利,38.4,後方,3,2,28,阪神,D,1800,良,3,7,未勝利,38.5,差し,11,12,14,阪神,D,1400,稍,16,4,未勝利*,45.2,後方,4,11,15,京都,D,1800,良,7,3,未勝利*,39.0,逃げ,3,10,26,京都,D,1800,重,5,1,新馬,38.2,先行,初
2,,4,,,,,アライブテーラー,,牝,3,3,5,17,京都,D,1400,良,13,14,未勝利,39.0,後方,19,1,5,京都,D,1800,良,12,14,未勝利・牝,39.9,中団,2,12,20,阪神,D,1800,良,14,7,新馬,40.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,スパルタンエックス,,牡,3,3,5,16,京都,T,1800,良,10,6,未勝利,35.3,先行,11,2,28,阪神,D,1800,良,6,8,未勝利,39.4,先行,2,2,14,小倉,T,2000,良,15,5,未勝利,38.5,中団,9,12,13,阪神,T,2000,良,4,2,未勝利*,36.0,先行,2,11,30,京都,T,2000,良,2,2,新馬,35.2,逃げ,初
3,,6,,,,,ゴールデンドラゴン,,牡,3,16,2,15,小倉,D,1700,稍,8,8,未勝利,38.2,中団,3,1,24,小倉,D,1700,良,3,9,未勝利,38.5,追込,14,10,19,京都,T,2000,良,9,9,新馬,37.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,リリーサンダー,,牡,3,3,5,16,京都,D,1800,良,4,3,未勝利,38.1,逃げ,7,3,28,阪神,D,1800,稍,3,4,未勝利,39.7,差し,2,3,14,中京,D,1900,良,4,11,未勝利,38.3,先行,2,3,1,阪神,D,2000,良,9,12,未勝利,38.5,後方,21,10,4,京都,D,1400,重,11,15,新馬,36.5,後方,初
4,,8,,,,,カラバッシュ,,牡,3,3,5,16,京都,T,2400,良,8,7,未勝利,35.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,レッドフロイデ,,牡,3,3,5,16,京都,D,1800,良,2,1,未勝利,37.2,先行,3,4,26,京都,D,1800,良,3,3,未勝利,38.7,逃げ,4,3,28,中京,D,1800,稍,3,3,未勝利・若,39.0,先行,2,3,14,中京,D,1900,良,5,2,未勝利,37.9,先行,23,10,5,京都,D,1800,重,4,11,新馬,37.9,差し,初
5,,10,,,,,ブラストオフ,,牡,3,8,4,11,阪神,D,1800,重,11,3,未勝利,41.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ティアーズクィーン,,牝,3,3,5,17,京都,D,1800,良,11,7,未勝利・牝,39.3,中団,34,9,20,阪神,T,2000,良,5,6,未勝利*,37.2,先行,3,8,30,中京,T,2000,良,8,11,未勝利*,34.4,中団,7,7,12,小倉,T,1800,良,7,10,新馬・牝,37.7,後方,初,,,,,,,,,,,,
6,,12,,,,,ニシノエビガタメ,,牡,3,4,5,10,京都,D,1900,良,4,5,未勝利,37.7,追込,6,3,29,阪神,D,2000,良,6,6,未勝利,39.5,中団,2,3,15,阪神,D,1800,良,7,10,未勝利,38.5,中団,9,1,12,京都,D,1800,良,11,14,未勝利,39.8,後方,3,12,21,阪神,T,1800,重,9,12,新馬,35.1,後方,初
7,,13,,,,,マイトグラッド,,牡,3,2,5,26,金沢,D,1500,良,4,5,加賀医,----,追込,23,12,13,中京,D,1800,良,12,13,未勝利*,39.9,先行,2,11,29,京都,D,1400,良,12,13,未勝利*,39.2,後方,2,11,15,京都,D,1200,良,10,10,新馬,37.2,後方,初,,,,,,,,,,,,
7,,14,,,,,メイショウコシュウ,,牡,3,2,5,23,京都,D,1800,稍,3,1,未勝利,39.1,先行,33,10,4,京都,D,1800,重,2,3,未勝利*,37.0,差し,10,7,26,札幌,D,1700,良,6,1,新馬,39.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ベルアズーロ,,牡,3,4,5,10,京都,T,2000,良,12,6,未勝利,37.6,先行,4,4,11,阪神,T,2000,稍,9,10,未勝利,36.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,イニシオ,,牡,3,2,5,24,東京,D,1600,稍,14,7,未勝利,41.6,先行,17,1,24,京都,T,2200,良,17,7,未勝利,39.0,後方,15,10,13,京都,T,1800,良,9,3,新馬,36.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060609030107,2026.6.6,土,阪神,3阪1,7,,未勝利,芝,1600,B,2,良(暫定),晴(暫定),18,13:15,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,グッデイ,,牝,3,3,5,17,京都,T,1600,良,5,12,未勝利・牝,35.2,先行,2,5,2,京都,T,1600,稍,6,16,未勝利・牝,34.6,先行,13,2,1,京都,T,2000,良,13,11,未勝利,38.5,逃げ,6,12,20,中京,T,1600,稍,8,13,未勝利・牝*,36.2,中団,11,10,5,京都,T,1800,稍,8,13,新馬,35.1,中団,初
1,,2,,,,,モンシーク,,牡,3,4,5,9,京都,T,1400,良,3,1,未勝利,33.6,先行,12,2,14,京都,T,1800,良,3,2,未勝利,36.2,先行,12,11,23,京都,T,2000,良,4,1,未勝利*,36.1,逃げ,6,10,12,東京,T,2000,良,2,2,新馬,34.0,先行,初,,,,,,,,,,,,
2,B,3,,,,,オメガヒストリー,,牡,3,11,3,21,阪神,D,1400,稍,12,10,未勝利,37.9,後方,3,2,28,阪神,D,1800,良,10,11,未勝利,40.7,逃げ,連,2,21,阪神,D,1800,良,12,6,未勝利,39.2,後方,10,12,14,中京,D,1400,稍,8,12,未勝利*,39.0,後方,2,11,29,京都,D,1400,良,7,7,未勝利*,38.2,後方,2
2,,4,,,,,シャロン,,牝,3,11,3,21,中京,T,2000,良,17,15,未勝利,37.0,中団,2,3,7,阪神,T,1600,良,16,11,未勝利,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ビーチェマーレ,,牡,3,25,12,14,阪神,D,1400,稍,6,5,未勝利*,38.5,中団,3,11,23,京都,D,1400,良,5,5,未勝利*,38.9,中団,2,11,8,京都,T,1400,良,5,1,新馬,35.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
3,B,6,,,,,テンタイムトップ,,牝,3,3,5,17,新潟,D,1800,良,9,10,未勝利・牝,41.8,先行,22,12,13,阪神,D,1400,良,14,7,未勝利・牝*,39.9,後方,7,10,25,京都,D,1400,良,12,2,新馬・牝,39.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ロールスワン,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,8,,,,,ダイメイプリンス,,牡,3,11,3,22,阪神,D,1200,良,12,6,未勝利,38.2,後方,7,2,1,小倉,T,1200,良,13,15,未勝利,34.9,後方,10,11,22,京都,T,1200,良,15,8,未勝利*,36.5,後方,4,10,26,東京,T,1400,稍,16,7,新馬,34.5,後方,初,,,,,,,,,,,,
5,,9,,,,,ネッカーズルム,,牡,3,3,5,16,新潟,T,1600,良,6,10,未勝利,34.6,中団,12,2,21,東京,D,1600,良,13,6,未勝利,40.5,中団,12,11,29,東京,T,1800,良,8,1,未勝利*,35.0,先行,3,11,9,東京,T,1800,良,4,6,未勝利*,35.2,差し,4,10,13,東京,T,1800,良,7,10,新馬,35.0,先行,初
5,,10,,,,,フェブリノ,,牝,3,2,5,26,浦和,D,1400,稍,4,3,ツイン,----,先行,4,4,25,福島,T,1200,良,9,5,未勝利,35.5,中団,9,2,21,小倉,T,1800,良,8,10,未勝利,36.1,中団,4,1,24,小倉,T,1200,良,7,11,萌黄賞･1勝*,33.7,後方,4,12,28,阪神,T,1400,良,13,9,未勝利*,35.2,後方,18
6,,11,,,,,レインボーステート,,牡,3,連,5,31,京都,T,1600,良,2,7,未勝利,34.3,差し,4,5,3,新潟,T,1800,良,10,1,未勝利,33.9,中団,4,4,4,阪神,T,1400,良,4,7,未勝利,34.3,差し,10,1,24,京都,T,1400,良,6,9,未勝利,34.8,後方,5,12,20,阪神,D,1400,良,7,2,未勝利*,39.2,中団,6
6,B,12,,,,,テリオスヒナ,,牝,3,2,5,23,新潟,T,1400,稍,13,13,未勝利,36.7,先行,12,2,28,小倉,D,1700,不,16,16,未勝利・牝,41.4,後方,7,1,12,京都,D,1200,良,15,16,未勝利,38.9,中団,3,12,21,阪神,D,1200,稍,13,11,未勝利*,39.7,中団,10,10,11,京都,D,1200,良,6,16,未勝利*,38.0,先行,2
7,,13,,,,,マヤノイマジン,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,レッドパラジウム,,牡,3,3,5,16,京都,T,1800,良,9,4,未勝利,35.1,先行,3,4,25,京都,T,1600,良,7,5,未勝利,34.6,中団,10,2,15,京都,D,1400,良,15,5,未勝利,41.3,逃げ,3,1,25,京都,D,1900,良,11,2,未勝利,39.6,中団,3,1,4,京都,T,1800,良,6,3,新馬,34.5,後方,初
7,,15,,,,,ケンブリッジグレイ,,牝,3,11,3,21,中京,T,1400,良,8,9,未勝利,36.2,逃げ,2,3,7,阪神,T,2400,稍,5,7,未勝利,35.4,逃げ,2,2,22,小倉,D,1700,良,10,4,未勝利・牝,42.5,先行,11,12,6,阪神,T,1600,良,13,6,未勝利・牝*,35.4,先行,3,11,15,京都,T,1600,良,2,11,新馬・牝,35.5,先行,初
8,,16,,,,,ディアーモルタル,,牝,3,6,4,26,京都,T,1200,良,10,15,未勝利,33.8,中団,11,2,8,小倉,T,1200,良,13,12,未勝利・牝,35.0,後方,10,11,30,京都,T,1200,良,8,4,新馬,34.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,17,,,,,ラジャブルック,,牡,3,8,4,11,阪神,D,1400,重,9,7,未勝利,38.3,中団,7,2,22,阪神,D,1800,良,7,4,未勝利,40.0,逃げ,3,1,31,京都,D,1800,良,3,2,未勝利,38.7,先行,13,11,1,京都,D,1800,重,9,1,新馬,40.2,中団,初,,,,,,,,,,,,
8,B,18,,,,,エリカアズーラ,,牝,3,3,5,16,京都,T,1800,良,12,8,未勝利,36.1,中団,3,4,25,福島,T,2000,良,10,3,未勝利・牝,35.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060609030108,2026.6.6,土,阪神,3阪1,8,,1勝,芝,2200,B,4,良(暫定),晴(暫定),18,13:45,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ミッドタウンナイト,,牝,4,3,5,16,新潟,T,1800,良,11,6,石打特別･1勝,35.6,先行,13,2,15,小倉,T,2000,稍,13,7,１勝ｸﾗｽ,37.4,逃げ,3,1,25,小倉,T,1800,良,9,10,１勝ｸﾗｽ・牝,36.7,後方,38,5,4,新潟,T,1800,稍,1,2,未勝利・牝,36.8,先行,2,4,20,福島,T,2000,良,2,4,未勝利・牝,35.3,逃げ,8
2,,2,,,,,ゴールドアクセス,,牡,3,11,3,22,阪神,T,2400,良,1,1,未勝利,34.4,先行,7,2,1,小倉,T,2000,良,7,4,未勝利,34.6,後方,3,1,10,京都,T,2400,良,4,2,未勝利,35.2,差し,9,11,9,京都,T,2000,重,3,3,新馬,35.9,差し,初,,,,,,,,,,,,
3,,3,,,,,ワンダフルデイズ,,牡,3,3,5,16,京都,T,2000,良,3,7,あずさ賞･1勝,33.9,追込,5,4,11,阪神,D,1800,重,9,6,１勝ｸﾗｽ*,38.1,中団,3,3,22,阪神,D,1800,良,7,4,１勝ｸﾗｽ*,38.6,中団,6,2,10,京都,D,1800,良,1,1,未勝利,37.3,先行,4,1,11,京都,D,1800,良,2,1,未勝利,36.9,差し,3
4,,4,,,,,サンライズグラシア,,牡,4,33,10,18,京都,T,2000,良,2,3,１勝ｸﾗｽ,35.8,先行,15,7,5,小倉,T,2000,良,4,7,ロイヤル･1勝,37.4,先行,7,5,17,京都,T,2000,不,7,10,あずさ賞･1勝,37.1,逃げ,2,5,4,東京,T,2000,良,7,14,プリンシ(L),34.9,先行,7,3,15,阪神,T,2400,良,9,8,ゆきやな･1勝,35.4,後方,2
5,,5,,,,,マイバレンタイン,,牡,3,10,3,28,中京,T,2200,良,1,4,未勝利,35.8,先行,2,3,14,中京,T,2000,良,6,8,未勝利,34.8,後方,4,2,14,小倉,T,2000,良,11,6,未勝利,36.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ヨカオウ,,牡,3,3,5,16,京都,T,2000,良,4,8,あずさ賞･1勝,34.4,差し,3,4,25,東京,T,2400,良,15,16,青葉賞G2,37.1,先行,3,4,4,中山,T,2200,稍,7,7,山吹賞･1勝*,36.9,先行,16,12,13,阪神,T,2000,良,1,5,未勝利*,35.3,逃げ,4,11,15,東京,T,2000,良,2,5,未勝利*,34.4,逃げ,3
7,,7,,,,,ガウディ,,牡,3,15,2,21,阪神,T,2200,良,4,7,すみれＳ(L),35.2,ﾏｸﾘ,6,1,10,京都,T,2400,良,1,4,未勝利,35.0,差し,10,11,1,京都,T,2000,稍,4,3,新馬,35.8,追込,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,フウセン,,牡,3,6,4,25,京都,T,2200,良,1,1,未勝利,34.7,先行,8,2,28,阪神,T,1800,良,4,5,未勝利,34.7,差し,4,2,1,京都,T,2000,良,3,3,未勝利,34.8,差し,7,12,13,中京,T,2000,良,3,4,新馬,33.4,差し,初,,,,,,,,,,,,
8,,9,,,,,オーシンエス,,牡,4,3,5,17,京都,T,2000,良,3,3,１勝ｸﾗｽ,34.9,差し,7,3,28,中京,T,2000,良,9,7,１勝ｸﾗｽ,33.9,中団,7,2,7,小倉,T,2000,稍,13,5,戸畑特別･1勝,39.6,中団,23,8,30,中京,T,2000,良,5,3,１勝ｸﾗｽ,33.8,中団,8,7,5,小倉,T,2000,良,3,5,ロイヤル･1勝,36.7,追込,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060609030109,2026.6.6,土,阪神,3阪1,9,城崎特別,1勝,芝,1800,B,2,良(暫定),晴(暫定),18,14:20,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ジェゼロ,,牡,4,2,5,23,京都,T,1800,良,9,4,１勝ｸﾗｽ,34.3,先行,3,5,2,京都,T,1600,良,5,5,１勝ｸﾗｽ,34.3,先行,52,5,4,東京,T,2000,良,11,5,プリンシ(L),34.8,中団,5,3,30,中京,T,2200,良,2,1,大寒桜賞･1勝,34.8,先行,34,8,4,新潟,T,1800,良,1,1,新馬,33.0,追込,初
2,B,2,,,,,フレイムスター,,牡,3,2,5,23,東京,D,1600,重,5,4,１勝ｸﾗｽ*,36.4,逃げ,8,3,28,阪神,T,1800,良,5,7,毎日杯G3,34.2,逃げ,2,3,15,中山,T,1800,良,16,14,スプリンG2,38.2,逃げ,6,2,1,東京,T,1800,良,6,11,セントポ･1勝,34.1,逃げ,3,1,12,京都,T,1600,良,15,13,シンザンG3,36.7,先行,2
3,,3,,,,,カフジエメンタール,,牡,3,4,5,9,京都,T,2200,良,9,11,京都新聞G2,35.9,後方,6,3,28,阪神,T,1800,良,3,2,毎日杯G3,33.8,先行,3,3,8,阪神,T,1800,良,1,2,アルメリ･1勝,33.9,先行,11,12,20,阪神,T,2000,良,3,2,未勝利*,34.7,先行,2,12,6,阪神,T,1800,良,2,2,未勝利*,33.2,先行,11
4,,4,,,,,ブラックシャリマー,,牡,3,6,4,25,京都,T,1800,良,2,2,あやめ賞･1勝,34.3,先行,10,2,14,京都,T,1800,良,1,4,未勝利,35.4,先行,9,12,14,阪神,T,2000,良,3,2,新馬,35.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
