レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020401,2026.3.8,日,中山,2中4,1,,未勝利,ダート,1800,,4,稍,晴,16,10:05,牝,馬齢,３歳
8,,15,,,,,マンマリアーレ,,牝,6,11,12,21,阪神,D,1800,重,14,15,ベテルギ(L),37.3,後方,13,9,20,中山,D,1800,重,5,7,バーレー,38.2,先行,3,8,28,門別,D,2000,良,4,5,ブリーG3,----,差し,4,8,3,中京,D,1800,良,8,7,名鉄杯(L),37.2,後方,13,5,4,東京,D,2100,稍,14,6,ブリリＨ(L),37.2,後方,4
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020411,2026.3.8,日,中山,2中4,11,報知杯弥生賞ディープインパクト記念,Ｇ２,芝,2000,A,4,良,晴,18,15:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ステラスペース,,牡,3,7,1,18,中山,T,2000,良,5,14,京成杯G3,34.7,先行,2,1,5,中山,T,2000,良,1,6,１勝ｸﾗｽ*,36.1,逃げ,4,12,6,中山,T,2000,良,7,8,葉牡丹賞･1勝,36.2,逃げ,7,10,19,新潟,T,2000,稍,1,3,未勝利*,36.3,先行,3,9,28,中山,T,2000,良,3,5,未勝利*,34.7,先行,8
2,,2,,,,,メイショウソラリス,,牡,3,14,11,29,京都,T,2000,良,11,7,京都２歳G3,37.7,先行,5,10,26,京都,T,2000,稍,1,4,未勝利*,35.7,逃げ,3,10,4,京都,T,2000,重,5,2,新馬,35.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,コスモギガンティア,,牡,3,9,1,4,中山,T,1600,良,5,7,ジュニア(L),33.9,後方,3,12,17,川崎,D,1600,稍,5,8,全日本G1,----,後方,5,11,6,船橋,D,1500,稍,1,1,サンス,----,先行,3,10,18,東京,T,1800,良,7,7,アイビー(L),34.1,後方,11,8,6,川崎,D,1500,良,1,1,オオム,----,先行,4
4,,4,,,,,ライヒスアドラー,,牡,3,15,11,24,東京,T,1800,良,3,2,東京スポG2,32.9,差し,10,9,14,中山,T,1800,良,1,1,新馬,33.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,タイダルロック,,牡,3,7,1,18,中山,T,2000,良,4,9,京成杯G3,34.2,追込,16,9,27,中山,T,2000,良,6,2,芙蓉Ｓ,35.1,中団,12,7,6,福島,T,2000,良,1,1,新馬,34.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,アドマイヤクワッズ,,牡,3,11,12,21,阪神,T,1600,重,3,1,フューチG1,34.6,差し,5,11,15,京都,T,1600,良,1,1,デイリーG2,34.0,追込,4,10,18,東京,T,1600,良,1,1,新馬,33.3,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,モウエエデショー,,牡,3,3,2,15,小倉,T,1800,稍,1,4,未勝利,34.7,差し,6,1,4,中山,T,1600,良,9,10,未勝利,35.1,中団,2,12,21,中山,T,1600,重,5,15,未勝利*,35.7,後方,14,9,14,中山,D,1800,稍,10,9,未勝利*,43.8,中団,2,8,30,新潟,D,1800,良,12,8,未勝利*,42.8,中団,3
7,,8,,,,,バステール,,牡,3,11,12,20,阪神,T,2000,良,1,1,未勝利*,33.9,差し,3,11,30,東京,T,1800,良,2,1,新馬,33.2,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,アメテュストス,,牡,3,7,1,18,中山,T,2000,良,8,8,京成杯G3,34.5,中団,6,12,6,中山,T,2000,良,止,3,葉牡丹賞･1勝,----,,10,9,27,中山,T,2000,良,2,5,芙蓉Ｓ,35.3,先行,10,7,19,福島,T,1800,良,1,2,未勝利*,36.3,差し,6,6,8,東京,T,1800,良,4,5,新馬,35.6,先行,初
8,,10,,,,,バリオス,,牡,3,5,1,31,京都,T,2000,良,1,1,新馬,34.3,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020412,2026.3.8,日,中山,2中4,12,,2勝,芝,1200,A,2,良,晴,16,16:25,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,エクセルゴールド,,牡,5,7,1,17,中山,T,1200,良,11,14,２勝ｸﾗｽ,33.5,後方,9,11,16,京都,T,1400,良,14,15,２勝ｸﾗｽ,34.4,後方,7,9,27,中山,T,1200,良,14,15,勝浦特別･2勝,33.9,中団,13,6,29,福島,T,1200,良,8,7,郡山特別･2勝,35.4,先行,4,5,31,京都,T,1400,良,11,8,２勝ｸﾗｽ,36.6,先行,6
1,,2,,,,,トーセントラム,,牡,6,4,2,10,京都,T,1200,良,3,7,２勝ｸﾗｽ,33.7,追込,6,12,27,中山,T,1200,良,7,8,ベストウ･2勝,34.2,後方,3,12,6,中山,T,1200,良,4,11,２勝ｸﾗｽ,33.0,差し,10,9,27,阪神,T,1600,良,10,12,２勝ｸﾗｽ,34.4,先行,4,8,31,札幌,T,1200,稍,9,16,ＨＢＣＨ･2勝,34.7,後方,連
2,B,3,,,,,レザンノワール,,牡,5,7,1,17,中山,T,1200,良,7,7,２勝ｸﾗｽ,33.9,先行,6,12,7,阪神,T,1400,良,8,12,２勝ｸﾗｽ,35.2,中団,4,11,9,東京,T,1400,良,6,11,２勝ｸﾗｽ,33.0,後方,6,9,27,中山,T,1200,良,8,12,勝浦特別･2勝,33.6,中団,43,11,30,中山,T,1200,良,12,3,２勝ｸﾗｽ,34.6,後方,9
2,,4,,,,,ロードトレゾール,,牡,5,3,2,15,小倉,T,1200,稍,6,6,大濠特Ｈ･2勝,35.3,逃げ,3,1,25,中山,D,1200,良,12,6,２勝ｸﾗｽ,38.9,先行,2,1,11,中山,D,1200,良,3,14,２勝ｸﾗｽ,38.0,先行,10,11,2,京都,D,1200,稍,12,13,２勝ｸﾗｽ,37.2,先行,7,9,15,阪神,D,1200,良,11,8,新涼特別･2勝,37.0,後方,2
3,,5,,,,,ビービーエフォート,,牝,4,19,10,26,京都,T,1200,稍,12,5,壬生特別･2勝,33.6,後方,3,10,5,京都,T,1200,稍,7,8,２勝ｸﾗｽ,33.4,後方,9,8,3,新潟,T,1200,良,1,1,１勝ｸﾗｽ,34.0,差し,3,7,13,福島,T,1200,良,3,2,１勝ｸﾗｽ,34.8,差し,15,3,30,中京,T,1200,良,1,6,未勝利,34.1,差し,4
3,,6,,,,,アオイレーギーナ,,牝,4,4,2,10,京都,T,1200,良,2,3,２勝ｸﾗｽ,33.9,追込,15,10,26,京都,T,1200,稍,2,6,壬生特別･2勝,33.5,差し,14,7,20,小倉,T,1200,良,10,4,耶馬渓特･2勝,35.4,中団,8,5,25,京都,T,1200,重,1,4,１勝ｸﾗｽ*,34.9,先行,6,4,12,阪神,T,1200,良,6,7,１勝ｸﾗｽ*,33.9,後方,5
4,,7,,,,,レイククレセント,,牝,5,2,2,22,東京,T,1400,良,5,4,２勝ｸﾗｽ,34.8,先行,9,12,20,阪神,T,1200,良,3,3,２勝ｸﾗｽ,33.8,差し,4,11,23,東京,T,1400,良,4,3,２勝ｸﾗｽ,33.3,差し,7,10,5,東京,T,1400,良,1,1,１勝ｸﾗｽ,33.5,差し,3,9,14,中山,T,1600,良,2,4,１勝ｸﾗｽ,34.8,先行,12
4,,8,,,,,ホウオウシェリー,,牝,5,3,2,15,東京,T,1600,良,5,6,２勝ｸﾗｽ,34.9,逃げ,10,12,7,中京,T,1600,良,4,7,志摩特Ｈ･2勝,34.1,逃げ,3,11,15,東京,T,1600,良,3,8,２勝ｸﾗｽ,34.0,逃げ,6,10,5,東京,T,1400,良,15,7,ｔｖｋ賞･2勝,35.2,逃げ,8,8,9,新潟,T,1800,良,13,6,三面川特･2勝,35.6,先行,8
5,,9,,,,,ピースフルナイト,,牝,6,8,1,10,京都,T,1200,良,6,9,鹿ケ谷Ｈ･2勝,33.9,中団,6,11,29,京都,T,1200,良,4,15,２勝ｸﾗｽ,34.0,差し,5,10,26,京都,T,1200,稍,11,11,壬生特別･2勝,33.9,中団,10,8,16,中京,T,1200,良,10,4,知多特別･2勝,33.4,中団,3,7,27,中京,T,1200,良,1,3,１勝ｸﾗｽ,33.9,先行,2
5,,10,,,,,スムースベルベット,,牝,6,3,2,15,小倉,T,1200,稍,7,5,大濠特Ｈ･2勝,34.7,中団,4,1,17,中山,T,1200,良,3,10,２勝ｸﾗｽ,33.5,差し,3,12,27,中山,T,1200,良,2,14,ベストウ･2勝,34.6,差し,7,11,9,東京,D,1300,稍,12,14,２勝ｸﾗｽ,38.2,中団,12,8,16,札幌,T,1200,良,9,10,知床特別･2勝,34.1,先行,2
6,,11,,,,,ジャガード,,牡,8,7,1,17,中山,T,1200,良,12,15,２勝ｸﾗｽ,33.4,後方,6,12,6,中山,T,1200,良,8,12,２勝ｸﾗｽ,33.2,後方,13,9,6,札幌,T,1200,良,11,16,札幌スポ･2勝,34.7,後方,2,8,23,札幌,T,1200,良,10,11,WASJ第１･2勝,35.2,中団,3,8,3,札幌,T,1200,良,10,12,苫小牧特･2勝,34.2,後方,3
6,,12,,,,,メイショウミリオレ,,牝,5,3,2,15,小倉,T,1200,稍,12,12,大濠特Ｈ･2勝,34.7,後方,39,5,17,京都,T,1200,不,6,9,２勝ｸﾗｽ,33.8,後方,3,4,26,福島,T,1200,良,11,12,福島中Ｈ･2勝,34.1,後方,8,3,1,阪神,T,1400,良,11,8,２勝ｸﾗｽ,35.5,中団,3,2,9,京都,T,1200,稍,4,8,２勝ｸﾗｽ,34.4,追込,連
7,,13,,,,,カリーシ,,牝,5,8,1,10,京都,T,1200,良,12,10,鹿ケ谷Ｈ･2勝,33.9,後方,3,12,20,阪神,T,1200,良,7,7,２勝ｸﾗｽ,34.1,中団,7,11,2,京都,T,1400,良,10,9,２勝ｸﾗｽ,33.7,中団,4,10,5,京都,T,1200,稍,5,12,２勝ｸﾗｽ,34.2,中団,5,8,31,札幌,T,1200,稍,10,6,ＨＢＣＨ･2勝,35.2,中団,2
7,,14,,,,,ダイヤモンドフジ,,牡,7,8,1,10,京都,T,1200,良,14,18,鹿ケ谷Ｈ･2勝,34.2,中団,18,9,6,札幌,T,1200,良,15,15,札幌スポ･2勝,34.8,後方,2,8,23,札幌,T,1200,良,14,14,WASJ第１･2勝,35.2,後方,25,3,1,小倉,T,1200,良,12,15,西日本新･2勝,34.6,後方,3,2,9,小倉,T,1200,稍,1,3,１勝ｸﾗｽ,35.1,先行,9
8,,15,,,,,ピコアーガイル,,牡,5,13,12,7,中山,D,1200,良,6,6,２勝ｸﾗｽ,37.8,先行,4,11,8,福島,T,1200,良,9,4,飯坂温泉･2勝,35.3,中団,16,7,20,函館,T,1200,良,2,5,潮騒特別･2勝,34.5,逃げ,10,5,10,東京,T,1400,稍,11,3,２勝ｸﾗｽ,35.8,先行,3,4,19,中山,T,1200,良,2,3,袖ケ浦特･2勝,33.2,差し,5
8,B,16,,,,,ポッドロワール,,牡,4,2,2,22,東京,T,1400,良,2,6,２勝ｸﾗｽ,34.1,差し,15,11,9,東京,T,1400,良,2,4,２勝ｸﾗｽ,33.0,差し,5,10,5,東京,T,1400,良,6,4,ｔｖｋ賞･2勝,34.5,先行,5,8,30,新潟,T,1400,良,1,7,新発田城･1勝,34.6,先行,13,5,31,東京,T,1400,稍,9,7,１勝ｸﾗｽ*,34.9,後方,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030809010601,2026.3.8,日,阪神,1阪6,1,,未勝利,ダート,1800,,4,良,曇,16,09:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,プッシュフォワード,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,マーゴットデイズ,,牡,3,7,1,17,京都,D,1900,良,4,6,未勝利,39.0,差し,4,12,21,阪神,D,1800,稍,6,5,未勝利*,39.5,中団,2,12,7,中京,D,1800,良,8,5,未勝利*,39.6,先行,4,11,8,京都,D,1800,良,5,4,未勝利*,38.7,中団,8,9,13,阪神,D,1800,良,5,5,未勝利*,39.4,中団,3
3,B,3,,,,,シャマレル,,牡,3,2,2,21,阪神,D,1400,良,14,11,未勝利,38.6,後方,14,11,15,京都,D,1400,良,9,10,未勝利*,37.6,後方,3,10,25,京都,T,1600,良,13,7,新馬,37.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,B,4,,,,,アーサーバローズ,,牡,3,5,1,31,京都,D,1800,良,3,4,未勝利,37.5,先行,連,1,24,小倉,D,1700,良,9,6,未勝利,40.6,ﾏｸﾘ,7,12,6,阪神,D,1800,良,11,5,未勝利*,39.4,中団,3,11,15,京都,D,1800,良,6,4,未勝利*,38.1,先行,7,9,27,阪神,D,1800,良,2,3,未勝利*,38.1,先行,連
5,,5,,,,,サンライズハリー,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,,,,,ロードヴェリタス,,牡,3,3,2,14,京都,D,1900,稍,3,5,未勝利,37.9,先行,3,1,25,京都,D,1900,良,8,5,未勝利,38.8,後方,2,1,12,京都,D,1800,良,7,5,新馬,37.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,ルファーダ,,牡,3,3,2,15,京都,D,1800,良,2,3,未勝利,37.0,先行,12,11,23,京都,D,1800,良,2,3,未勝利*,38.8,先行,5,10,18,京都,D,1400,稍,6,4,未勝利*,37.9,中団,2,10,5,京都,D,1400,重,7,6,未勝利*,38.0,中団,15,6,22,阪神,D,1200,良,5,7,新馬,38.3,中団,初
6,,8,,,,,ギレイ,,牡,3,8,1,11,京都,D,1800,良,8,10,未勝利,38.7,中団,3,12,21,阪神,T,1800,重,10,9,新馬,35.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,ラッキーダイヤ,,牡,3,8,1,10,京都,T,2400,良,18,11,未勝利,39.2,後方,6,11,29,京都,D,1800,良,7,10,新馬,39.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,10,,,,,マスターストーン,,牡,3,3,2,14,京都,D,1800,稍,7,5,新馬,41.7,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,,,,,サンライズフリード,,牡,3,9,1,4,京都,D,1800,良,7,15,未勝利,39.7,中団,3,12,13,阪神,D,1400,良,11,5,新馬,39.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,12,,,,,サウンドラッシュ,,牡,3,3,2,15,小倉,D,1700,稍,9,13,未勝利,38.8,中団,4,1,17,京都,D,1200,良,10,8,未勝利,38.5,中団,3,12,27,阪神,D,1200,稍,5,10,未勝利*,37.7,中団,3,12,7,阪神,D,1400,良,11,12,未勝利*,40.1,中団,12,9,15,阪神,T,2000,良,5,5,未勝利*,34.6,後方,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030809010602,2026.3.8,日,阪神,1阪6,2,,未勝利,ダート,1200,,2,良,曇,16,10:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,マリーイメル,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,アリディプラチノ,,牝,3,11,12,20,中京,D,1200,稍,9,2,未勝利*,38.5,中団,2,12,6,阪神,D,1200,良,2,10,新馬,37.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,タナスーペルノーバ,,牡,3,2,2,21,小倉,D,1000,良,5,3,未勝利,36.9,先行,5,1,17,京都,D,1200,良,2,1,未勝利,37.8,先行,2,1,4,京都,D,1200,良,4,2,未勝利,37.3,逃げ,4,12,7,阪神,D,1400,良,4,7,未勝利*,38.5,先行,3,11,15,福島,T,1200,良,7,6,未勝利*,35.6,先行,4
2,,4,,,,,キャスケード,,牝,3,4,2,10,京都,D,1400,良,14,9,未勝利・牝,41.1,後方,8,12,13,阪神,D,1400,良,8,11,未勝利・牝*,38.1,後方,22,7,13,小倉,T,1200,良,6,7,新馬,36.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,チェラブ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,マユナイト,,牝,3,2,2,21,阪神,D,1200,良,7,10,未勝利・牝,38.2,後方,3,1,31,京都,D,1200,良,10,9,未勝利・牝,37.0,後方,6,12,20,中京,D,1200,稍,8,3,未勝利*,38.1,中団,4,11,22,京都,D,1200,良,4,8,未勝利・牝*,37.0,差し,2,11,9,福島,D,1150,良,5,8,未勝利*,37.5,中団,11
4,,7,,,,,アクアマイスター,,牡,3,2,2,22,阪神,D,1200,良,5,4,未勝利,37.5,先行,4,1,24,小倉,D,1000,良,14,4,未勝利,37.6,後方,4,12,27,阪神,D,1200,稍,3,13,未勝利*,37.2,先行,13,9,27,阪神,T,1200,良,12,14,未勝利*,35.4,後方,2,9,13,阪神,T,1200,良,11,10,新馬,37.9,後方,初
4,B,8,,,,,メッチャエエヤン,,牡,3,4,2,7,小倉,D,1000,良,9,7,未勝利,37.4,中団,21,9,13,阪神,D,1200,良,8,5,未勝利*,40.2,先行,2,8,30,中京,D,1800,良,11,7,未勝利*,42.4,逃げ,10,6,22,阪神,D,1200,良,13,3,新馬,40.8,逃げ,初,,,,,,,,,,,,
5,,9,,,,,アームズレジェンド,,牡,3,18,11,2,京都,D,1400,稍,3,1,新馬,38.9,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,チアフルラン,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,カガラプンツェル,,牝,3,3,2,14,小倉,D,1000,良,9,6,未勝利,37.5,逃げ,4,1,18,京都,D,1200,良,15,10,未勝利・牝,39.2,逃げ,22,8,16,中京,D,1200,良,6,5,未勝利*,39.3,先行,5,7,12,小倉,T,1200,良,6,5,未勝利*,36.7,先行,4,6,14,阪神,T,1200,稍,6,5,新馬,36.1,中団,初
6,,12,,,,,プレデンシア,,牝,3,4,2,10,京都,D,1200,良,2,2,未勝利,36.7,追込,3,1,18,京都,D,1200,良,4,4,未勝利・牝,36.9,差し,7,11,30,京都,D,1200,良,4,5,未勝利*,36.6,差し,2,11,16,京都,D,1400,良,6,9,未勝利・牝*,38.1,中団,3,10,25,東京,D,1400,稍,7,5,新馬,37.8,中団,初
7,,13,,,,,イズジョーアザヤカ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ジャズホリック,,牝,3,3,2,15,京都,D,1400,良,13,10,未勝利,39.4,中団,5,1,14,名古,D,1500,良,2,3,名古屋,----,先行,9,11,8,京都,D,1800,良,12,10,未勝利・牝*,43.0,後方,3,10,18,京都,D,1400,稍,10,9,新馬,39.0,中団,初,,,,,,,,,,,,
8,B,15,,,,,ルヴレアール,,牡,3,4,2,5,笠松,D,1400,良,3,4,御嶽宿,----,先行,7,12,20,中京,D,1200,稍,16,10,未勝利*,40.0,後方,7,11,1,京都,D,1800,重,16,9,新馬,42.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ラガーダブルエイト,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030809010603,2026.3.8,日,阪神,1阪6,3,,未勝利,ダート,1800,,4,良,曇,16,10:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,サンライズジャッジ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,サンセットロード,,牡,3,7,1,17,京都,D,1900,良,12,8,未勝利,39.3,後方,3,12,27,阪神,D,1800,稍,5,8,新馬,38.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,レグラヴィエール,,牡,3,8,1,10,京都,T,2400,良,15,16,未勝利,37.2,後方,4,12,14,阪神,T,2000,良,6,6,新馬,35.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,トーレス,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,ブクブクー,,牡,3,6,1,25,京都,D,1800,良,6,10,未勝利,37.1,後方,2,1,11,京都,D,1400,良,12,9,未勝利,39.9,中団,11,10,26,東京,T,1400,稍,14,10,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,アメリカンイズム,,牡,3,13,12,7,中京,D,1800,良,7,1,未勝利*,39.3,中団,3,11,16,京都,D,1800,良,2,1,新馬,37.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,7,,,,,ピエナオルカ,,牡,3,3,2,14,京都,D,1900,稍,5,2,未勝利,38.1,先行,3,1,25,京都,D,1900,良,3,6,未勝利,38.9,先行,3,1,4,京都,D,1800,良,9,3,未勝利,39.9,中団,3,12,13,阪神,D,1800,良,3,3,未勝利*,38.6,先行,3,11,23,京都,D,1800,良,3,5,未勝利*,38.5,差し,22
5,,8,,,,,ジャッキーバローズ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,9,,,,,ショーンバローズ,,牡,3,2,2,21,阪神,D,1800,良,4,13,未勝利,38.0,先行,2,2,7,京都,D,1800,良,5,9,未勝利,40.7,後方,10,11,29,京都,D,1800,良,7,9,未勝利*,41.1,中団,2,11,15,京都,D,1400,良,10,8,未勝利*,38.8,中団,2,11,2,京都,D,1400,稍,5,9,新馬,38.9,先行,初
6,,10,,,,,タイセイサーブル,,牡,3,2,2,21,阪神,D,1800,良,6,6,新馬,38.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,11,,,,,ストロングボーイ,,牡,3,8,1,12,京都,D,1800,良,9,8,新馬,38.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,イロゴルシ,,牡,3,2,2,21,阪神,T,2400,良,11,9,未勝利,38.0,後方,17,10,26,京都,T,2000,稍,7,8,未勝利*,36.5,後方,2,10,13,東京,T,1800,良,10,8,新馬,35.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,13,,,,,マイカラー,,牡,3,11,12,21,中京,D,1800,稍,8,4,未勝利*,39.9,中団,2,12,7,中京,D,1800,良,5,7,未勝利*,39.1,先行,9,10,4,京都,D,1400,重,10,7,新馬,37.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,,,,,ワザオギ,,牡,3,16,11,16,京都,D,1800,良,3,5,新馬,37.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030809010604,2026.3.8,日,阪神,1阪6,4,,未勝利,ダート,1400,,2,良,曇,16,11:20,,馬齢,３歳
