レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010401,2026.5.10,日,新潟,1新4,1,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ロマンス,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,タガノプトゥリ,,牝,3,2,4,25,京都,T,1800,良,5,15,未勝利・牝,34.7,後方,9,2,22,阪神,D,1400,良,10,14,新馬,40.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,オコリンボーマミー,,牝,3,14,2,1,小倉,T,1200,良,16,6,新馬,35.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,アマイクチヅケ,,牝,3,4,4,11,中山,T,2000,良,3,18,未勝利・牝,35.6,差し,15,12,27,阪神,T,1600,良,11,13,未勝利*,35.7,後方,4,11,29,東京,T,1800,良,7,10,未勝利*,34.6,中団,2,11,16,東京,T,1600,良,10,11,新馬,35.4,後方,初,,,,,,,,,,,,
3,,5,,,,,マトリカリア,,牝,3,12,2,14,東京,T,1800,良,14,14,未勝利・牝,35.6,先行,13,11,16,東京,T,1400,良,14,11,未勝利・牝*,35.4,中団,連,11,8,福島,T,1200,良,7,9,新馬,35.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ナムラライラック,,牝,3,13,2,8,小倉,T,1800,良,8,13,未勝利,36.7,逃げ,7,12,21,阪神,T,1800,稍,14,18,未勝利・牝*,36.3,中団,7,11,1,京都,T,1800,稍,7,8,未勝利*,35.6,先行,4,10,4,京都,T,2000,稍,7,6,未勝利*,35.7,後方,3,9,13,阪神,D,1200,良,7,8,未勝利*,38.3,後方,9
4,,7,,,,,ジュナベーラ,,牝,3,13,2,7,東京,T,1600,良,11,2,未勝利,34.7,中団,7,12,21,中山,T,1800,重,7,1,未勝利・牝*,35.5,ﾏｸﾘ,9,10,18,東京,T,1600,良,4,2,新馬,33.9,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,プロミスライン,,牝,3,11,2,21,東京,T,2400,良,9,12,未勝利,35.4,中団,4,1,25,中山,T,2000,良,8,10,新馬,34.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,コスモゼーリエ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ウインプライム,,牝,3,11,2,21,東京,T,1600,良,14,13,未勝利,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ソニックブーム,,牝,3,3,4,18,福島,T,2000,良,3,5,未勝利・牝,35.6,差し,4,3,21,中京,T,2000,良,5,14,未勝利・牝,35.4,中団,3,3,1,小倉,T,1800,良,5,7,未勝利,36.9,後方,6,1,17,京都,D,1200,良,12,6,未勝利,38.8,中団,3,12,28,阪神,T,1400,良,12,10,未勝利*,36.0,中団,連
6,,12,,,,,ファストフォワード,,牝,3,4,4,11,福島,T,1800,良,4,4,未勝利・牝,36.2,先行,4,3,14,中京,D,1800,良,5,3,未勝利・牝,40.0,先行,6,1,31,小倉,T,2000,良,6,5,未勝利・牝,36.3,先行,11,11,16,東京,T,1800,良,7,9,未勝利*,35.1,中団,3,10,25,東京,T,2000,良,9,9,新馬,35.5,先行,初
7,,13,,,,,カワイクテゴメン,,牝,3,14,1,31,東京,D,1400,良,16,6,新馬,37.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ケナゲ,,牝,3,3,4,19,中山,T,2000,良,5,13,未勝利,34.9,中団,4,3,21,中京,T,2000,良,13,18,未勝利・牝,35.9,中団,18,11,15,東京,T,2000,良,11,11,未勝利*,34.7,後方,3,10,25,東京,T,1800,良,5,6,未勝利*,34.6,後方,14,7,19,福島,T,1800,良,8,5,未勝利*,37.3,後方,2
8,,15,,,,,シャンパンクォーツ,,牝,3,12,2,14,東京,T,1800,良,16,8,未勝利・牝,38.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,メイショウコハル,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010406,2026.5.10,日,新潟,1新4,6,,未勝利,芝,1000,B,0,良(暫定),晴(暫定),16,12:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ナツノオジョウサマ,,牝,3,4,4,12,福島,T,1200,良,4,5,未勝利,35.9,逃げ,3,3,21,阪神,D,1200,稍,3,6,未勝利,38.1,逃げ,2,3,7,阪神,D,1400,稍,11,8,未勝利,40.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,キャストアイズミー,,牝,3,12,2,14,京都,D,1200,稍,16,11,未勝利,40.6,先行,連,2,7,小倉,D,1000,良,8,9,未勝利,37.4,中団,19,9,27,阪神,D,1400,良,13,8,未勝利*,41.3,中団,9,7,26,新潟,T,1400,良,12,12,新馬,36.0,中団,初,,,,,,,,,,,,
2,,3,,,,,ララクレアドルーン,,牝,3,12,2,14,小倉,T,1200,良,14,10,未勝利,37.2,先行,13,11,16,京都,D,1200,良,12,5,未勝利*,38.0,後方,2,11,1,京都,T,1200,稍,10,2,未勝利*,35.7,逃げ,16,7,12,小倉,T,1200,良,8,3,未勝利*,37.8,逃げ,連,7,5,小倉,T,1200,良,2,4,新馬,35.1,逃げ,初
2,,4,,,,,ラガッツァケコーレ,,牝,3,12,2,14,東京,D,1400,良,13,15,新馬,40.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
