日付,馬名,スコア,レースID
2026.2.1,アツンケル,1.0,2026021005010401
2026.1.1,アティラン,8.5,2026011108010402
2026.1.1,アティラン,2.2,2026011708010603
2026.3.2,アティラン,11.9,2026032807010502
2026.3.1,アテナガール,3.1,2026030106020205
2026.5.1,アテナガール,1.5,2026051005020604
2026.5.2,アテナガール,8.7,2026052405021005
2026.6.6,アテナガール,4.8,2026060605030102
2026.6.6,アテナブレイブ,31.0,2026060605030105
2026.5.1,アテンスマイル,2.5,2026051604010512
2026.2.1,アデランテ,32.3,2026021405010508
2026.5.3,アデランテ,14.5,2026053105021209
2026.1.3,アデルバローズ,6.8,2026013105010105
2026.2.2,アデルバローズ,27.0,2026022105010705
2026.3.1,アデルバローズ,30.0,2026031506020605
2026.5.2,アデルバローズ,11.8,2026052304010707
2026.1.1,アデルフィー,7.8,2026011206010503
2026.1.3,アデルフィー,17.4,2026013108020103
2026.3.2,アデルフィー,17.4,2026032207010403
2026.4.1,アデルフィー,33.7,2026041203010203
2026.4.2,アデルフィー,36.1,2026042503010506
2026.5.1,アデルフィー,83.3,2026051704010602
2026.1.3,アトミックブレス,26.6,2026013105010104
2026.2.2,アトミックブレス,30.6,2026022205010801
2026.5.9,アトミックブレス,20.0,2026050905020510
2026.1.1,アトモス,33.7,2026011708010606
2026.2.2,アトモス,44.6,2026022810011107
2026.3.2,アトモス,34.2,2026032209011006
2026.3.1,アトラステソーロ,39.5,2026030106020202
2026.2.2,アトリウムチャペル,4.2,2026022109010107
2026.4.1,アトリウムチャペル,11.2,2026041206030607
2026.4.2,アトリウムチャペル,29.5,2026042505020108
2026.4.1,アトレッタ,11.2,2026041909020805
2026.5.1,アトレッタ,24.8,2026051008030605
2026.2.1,アドアプローズ,5.2,2026021410010704
2026.3.1,アドアプローズ,5.6,2026031407010108
2026.5.1,アドバンスジェンヌ,15.0,2026051704010603
2026.4.4,アドバンスファラオ,4.8,2026040409020310
2026.5.1,アドバンスファラオ,8.3,2026051708030811
2026.5.3,アドバンスモダン,4.8,2026053108031205
2026.1.1,アドフランマム,34.3,2026011808010703
2026.1.2,アドフランマム,12.9,2026012408010802
2026.2.1,アドフランマム,34.2,2026021008020401
2026.3.1,アドフランマム,20.3,2026030109010402
