レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,,,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ニシノカーロ,牡,3, , 93,10,57,,*,原田和真,(美),上原博之,ハービンジャー,コンデュイット,ニアークティック系,ナスルーラ系,12,6,5中1,初,新馬,芝,2000,良,,野中,56.0,,12,88.4,14,2.4,15,9,9,11,12,37.37,36.3,14,ゴディアーモ
1,,2,ニシノヒノトリ,牡,3, ,114,3,57,,*,津村明秀,(美),手塚貴久,ルーラーシップ,オペラハウス,ネイティヴダンサー系,ニアークティック系,1,11,1中4,4,未勝利,芝,2200,良,,菅原,57.0,,6,21.2,4,0.3,11,14,12,9,9,36.90,35.7,1,グランアルト
2,,3,レディトゥランブル,牡,3, , 90,13,57,,*,岩田康誠,(美),武井亮,ダノンプレミアム,サクラバクシンオー,,ナスルーラ系,1,24,1中8,3,未勝利,ダ,1800,良,,木幡,57.0,,11,212.9,14,4.4,11,15,15,13,14,38.80,42.2,14,テイクオンミー
2,,4,アニゴザントス,牝,3, , 88,17,53,△,*,長浜鴻緒,(美),古賀慎明,ブリックスアンドモルタル,フジキセキ,,ロイヤルチャージャー系,1,17,1中6,9,未勝利,芝,2000,良,,北村,55.0,,13,77.8,15,1.8,14,18,18,14,14,36.99,36.2,13,レダアトミカ
3,,5,キンググローリー,牡,3, ,103,7,57,,*,丹内祐次,(美),古賀慎明,ダノンプレミアム,"Duke of Marmalade",,ニアークティック系,1,24,1中8,3,未勝利,芝,2200,良,,菅原,57.0,,6,17.4,9,1.2,6,10,11,11,10,36.38,36.2,6,ミッキーファルコン
3,,6,クリスタルドレス,牝,3, , 90,13,55,,*,江田照男,(美),高橋文雅,ジャスタウェイ,クロフネ,,ニアークティック系,2,10,1東4,2,未勝利,芝,2400,良,,木幡,55.0,,16,410.0,12,1.8,10,9,9,11,11,37.40,36.1,15,レイヒストリコ
4,,7,サクラピアチェーレ,セ,3, , 90,13,57,,*,菊沢一樹,(美),高柳瑞樹,モズアスコット,ネオユニヴァース,,ロイヤルチャージャー系,1,11,1中4,初,新馬,ダ,1800,良,,大野,57.0,,11,76.0,14,8.1,11,7,7,12,12,39.40,45.2,15,エスシービクトリア
4,,8,ヤマメナイト,牡,3, , 90,13,57,,*,吉田豊,(美),田島俊明,レイデオロ,ハービンジャー,,ニアークティック系,11,29,5東7,3,未勝利*,ダ,1600,良,,岩田,56.0,,10,65.3,11,1.9,6,,,7,7,37.32,39.1,11,セントゴーデンス
5,,9,アイスアイスベイビ,牡,3, ,105,5,57,,,石川裕紀,(美),岩戸孝樹,ゴールドシップ,ダノンシャンティ,,ロイヤルチャージャー系,2,10,1東4,8,未勝利,芝,2400,良,,石川,57.0,,8,72.7,5,0.7,6,6,7,8,7,37.33,35.2,5,レイヒストリコ
5,,10,ウインターブレス,牡,3, ,114,3,57,,,原優介,(美),竹内正洋,ハービンジャー,ディープインパクト,ニアークティック系,ロイヤルチャージャー系,1,12,1中5,3,未勝利,芝,2000,良,,原優,57.0,,9,26.0,3,0.0,9,6,7,7,6,36.04,35.9,1,サトノマティーニ
6,,11,ミサダメキメル,牡,3, , 99,9,54,▲,,遠藤汰月,(美),高橋文雅,アメリカンペイトリオット,エピファネイア,,,2,1,1東2,9,未勝利,芝,1800,良,,遠藤,54.0,▲,10,70.7,8,1.3,11,,7,9,8,36.70,34.7,9,アウダーシア
6,B,12,ウィロークリーク,牡,3, ,121,1,57,,*,ルメール,(美),中舘英二,ラブリーデイ,フレンチデピュティ,,ニアークティック系,1,24,1中8,3,未勝利,芝,2200,良,B,横山,57.0,,1,2.0,5,0.5,3,2,2,1,2,36.04,36.4,10,ミッキーファルコン
7,,13,バッカステソーロ,牡,3, ,  0,,57,,,大野拓弥,(美),栗田徹,キタサンブラック,Frankel,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,ラクシオンデクラ,牡,3, , 92,11,54,▲,,舟山瑠泉,(美),尾関知人,ブリックスアンドモルタル,ダイワメジャー,,ロイヤルチャージャー系,12,27,5中7,11,未勝利*,芝,2000,良,,舟山,53.0,▲,18,734.1,8,0.6,13,11,12,14,16,36.90,36.4,7,ポッドクロス
7,B,15,ローレルエース,牡,3, , 91,12,54,▲,*,佐藤翔馬,(美),松永康利,ヤマカツエース,クロフネ,,ニアークティック系,10,19,4東7,初,新馬,芝,1800,良,B,原優,56.0,,16,176.7,13,1.1,13,,11,8,8,38.40,34.5,12,ブラウンバナナ
8,,16,ブリサマリーナ,牝,3, ,104,6,55,,*,田辺裕信,(美),久保田貴,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,2,10,1東4,3,未勝利,芝,2400,良,,菅原,55.0,,7,54.6,10,1.3,3,1,1,1,1,37.10,36.5,17,レイヒストリコ
