年月日,馬名,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1
20260529,レーベンスティール,72.6,52.6,34.2,16.7,20.0,18.4,17.5,16.7
20260529,アマンテビアンコ,63.2,45.9,30.0,14.6,17.3,15.9,15.4,14.6
20260529,ゴールドアローン,65.7,48.0,31.5,15.6,17.7,16.5,15.9,15.6
20260529,キングプロフィット,68.0,49.6,32.5,16.3,18.4,17.1,16.2,16.3
20260529,インターステラ,69.2,50.6,33.2,16.5,18.6,17.4,16.7,16.5
20260529,タイセイデクスター,66.5,49.2,32.4,16.0,17.3,16.8,16.4,16.0
20260529,テリオスララ,68.0,49.0,31.8,15.7,19.0,17.2,16.1,15.7
20260529,タートルインメイ,64.1,47.7,31.6,16.2,16.4,16.1,15.4,16.2
20260529,ゴールドフリーダム,65.8,48.2,31.6,15.5,17.6,16.6,16.1,15.5
20260529,グリオンヴール,63.0,45.9,29.8,14.6,17.1,16.1,15.2,14.6
20260529,キボウノホシ,90.1,66.2,43.5,21.9,23.9,22.7,21.6,21.9
20260529,シャンドゥレール,64.5,47.0,31.2,15.3,17.5,15.8,15.9,15.3
20260529,スムースベルベット,66.7,48.6,31.8,15.8,18.1,16.8,16.0,15.8
20260529,レッドレナート,65.5,47.1,31.1,15.9,18.4,16.0,15.2,15.9
20260529,カルフ,64.8,46.9,30.8,15.2,17.9,16.1,15.6,15.2
20260529,オルグジェシダ,64.6,45.8,29.5,14.4,18.8,16.3,15.1,14.4
20260529,レッドシュトラール,64.4,47.8,31.0,15.2,16.6,16.8,15.8,15.2
20260529,スイープセレニティ,65.5,47.4,30.5,15.0,18.1,16.9,15.5,15.0
20260529,エコロガレル,57.6,42.4,27.7,13.6,15.2,14.7,14.1,13.6
20260529,サクラトップラック,57.7,42.4,27.7,13.6,15.3,14.7,14.1,13.6
20260529,ユタライト,66.0,48.1,31.4,15.4,17.9,16.7,16.0,15.4
20260529,ウィルソンテソーロ,70.8,50.7,32.6,16.2,20.1,18.1,16.4,16.2
20260529,バトルクライ,69.9,51.1,33.1,16.2,18.8,18.0,16.9,16.2
20260529,タイキオーベロン,71.7,51.6,33.6,16.8,20.1,18.0,16.8,16.8
20260529,ゴットタレント,69.0,50.9,33.0,16.2,18.1,17.9,16.8,16.2
20260529,シンデレラカラー,65.9,49.2,32.8,16.6,16.7,16.4,16.2,16.6
20260529,ゴーゴーパンチ,62.8,46.2,30.4,15.3,16.6,15.8,15.1,15.3
20260529,ヴァルボナ,69.8,51.1,33.0,16.2,18.7,18.1,16.8,16.2
20260529,ココソラーレ,68.7,49.9,32.7,16.6,18.8,17.2,16.1,16.6
20260529,アゴルディーノ,69.6,51.8,33.8,16.6,17.8,18.0,17.2,16.6
20260529,ディルイーヤ,70.3,50.5,32.6,16.2,19.8,17.9,16.4,16.2
20260529,サイモンルモンド,67.0,48.3,31.6,15.8,18.7,16.7,15.8,15.8
20260529,サイモンカーチス,69.1,50.1,32.6,15.8,19.0,17.5,16.8,15.8
20260529,ミカッテヨンデイイ,74.9,55.8,36.9,18.7,19.1,18.9,18.2,18.7
20260529,スチョウプリンセス,68.6,50.9,33.8,16.9,17.7,17.1,16.9,16.9
20260529,マイバラード,64.7,47.4,31.3,15.8,17.3,16.1,15.5,15.8
20260529,ルージュダズリング,63.3,47.1,31.3,14.9,16.2,15.8,16.4,14.9
20260529,ウインアプローチ,75.0,54.5,34.5,16.4,20.5,20.0,18.1,16.4
20260529,グラスブランシュ,69.7,51.0,32.9,16.4,18.7,18.1,16.5,16.4
20260529,ハクシンブライアン,69.0,50.6,32.5,15.9,18.4,18.1,16.6,15.9
