場所,クラス,馬券種,回収率,ウェイト,配分額,レース数/年,年間投資,年間払戻
福島,新馬,馬連,179.2,0.1086,1000,16.0,16000.0,28672.0
福島,新馬,複勝,155.2,0.094,900,16.0,14400.0,22348.8
福島,未勝利,三連単,255.4,0.4037,4000,90.0,360000.0,919440.0
福島,未勝利,三連複,241.4,0.3815,3800,90.0,342000.0,825588.0
福島,未勝利,馬連,135.9,0.2148,2100,90.0,189000.0,256851.0
福島,Ｇ３,三連複,141.8,0.3908,3900,3.9,15210.0,21567.78
福島,Ｇ３,複勝,117.3,0.3233,3200,3.9,12480.0,14639.04
福島,Ｇ３,馬連,103.7,0.2858,2800,3.9,10920.0,11324.04
福島,ｵｰﾌﾟﾝ,三連複,388.2,0.411,4100,8.8,36080.0,140062.56
福島,ｵｰﾌﾟﾝ,馬連,285.6,0.3024,3000,8.8,26400.000000000004,75398.40000000002
福島,ｵｰﾌﾟﾝ,三連単,142.2,0.1506,1500,8.8,13200.000000000002,18770.4
福島,ｵｰﾌﾟﾝ,複勝,128.5,0.1361,1300,8.8,11440.000000000002,14700.400000000001
阪神,1000万,三連単,181.5,0.3163,3100,41.9,129890.0,235750.35
阪神,1000万,三連複,172.7,0.301,3000,41.9,125700.0,217083.9
阪神,1000万,馬連,114.6,0.1997,1900,41.9,79610.0,91233.06
阪神,1000万,複勝,105.0,0.183,1800,41.9,75420.0,79191.0
阪神,1600万,三連単,305.1,0.3864,3800,21.4,81320.0,248107.32
阪神,1600万,三連複,242.2,0.3068,3000,21.4,64199.99999999999,155492.4
阪神,1600万,馬連,138.5,0.1754,1700,21.4,36380.0,50386.3
阪神,1600万,複勝,103.7,0.1313,1300,21.4,27819.999999999996,28849.339999999997
阪神,1勝,三連複,225.9,0.4129,4100,46.7,191470.0,432530.73
阪神,1勝,三連単,213.5,0.3902,3900,46.7,182130.0,388847.55
阪神,1勝,馬連,107.7,0.1969,1900,46.7,88730.0,95562.21
阪神,2勝,三連単,168.5,0.4144,4100,33.0,135300.0,227980.5
阪神,2勝,三連複,125.1,0.3077,3000,33.0,99000.0,123849.0
阪神,2勝,馬連,113.0,0.2779,2700,33.0,89100.0,100683.0
阪神,3勝,三連複,147.2,0.3669,3600,16.3,58680.0,86376.96
阪神,3勝,三連単,144.8,0.3609,3600,16.3,58680.0,84968.64
阪神,3勝,馬連,109.2,0.2722,2700,16.3,44010.0,48058.92
阪神,500万,三連複,153.7,0.2932,2900,79.1,229389.99999999997,352572.42999999993
阪神,500万,三連単,149.7,0.2855,2800,79.1,221479.99999999997,331555.55999999994
阪神,500万,馬連,119.6,0.2281,2200,79.1,174020.0,208127.92
阪神,500万,複勝,101.3,0.1932,1900,79.1,150290.0,152243.77
阪神,OP(L),三連単,269.1,0.3244,3200,5.6,17920.0,48222.72
阪神,OP(L),馬連,232.2,0.2799,2700,5.6,15119.999999999998,35108.63999999999
阪神,OP(L),三連複,205.2,0.2473,2400,5.6,13440.0,27578.88
阪神,OP(L),複勝,123.1,0.1484,1400,5.6,7839.999999999999,9651.039999999999
阪神,新馬,三連単,596.3,0.3709,3700,45.2,167240.0,997252.1199999999
阪神,新馬,三連複,521.2,0.3241,3200,45.2,144640.0,753863.68
阪神,新馬,馬連,334.8,0.2082,2000,45.2,90400.0,302659.2
阪神,新馬,複勝,155.6,0.0968,900,45.2,40680.0,63298.08
