場所,クラス,馬券種,レース数,回収率,的中率,平均配当,Quarter-Kelly(%),推奨賭け金(200万)
阪神,Ｇ３,三連複,98,487.0,10.2,47.7,2.1,41400
中京,新馬,三連複,205,454.9,16.1,28.3,3.3,65000
京都,新馬,三連複,357,448.1,13.7,32.6,2.7,54900
京都,新馬,三連単,357,429.0,2.7,158.4,0.5,10400
中京,新馬,三連単,205,426.0,3.6,119.1,0.7,13800
札幌,新馬,三連複,116,423.4,17.2,24.6,3.4,68600
京都,OP(L),三連複,27,423.0,14.8,28.6,2.9,58600
小倉,Ｇ３,三連単,47,421.7,2.1,198.2,0.4,8100
東京,ｵｰﾌﾟﾝ,三連複,174,395.7,10.9,36.2,2.1,41900
函館,2勝,三連単,69,395.1,4.8,81.8,0.9,18200
中山,2勝,三連複,230,392.9,10.0,39.3,1.9,38200
京都,Ｇ３,三連複,70,389.1,10.0,38.9,1.9,38100
新潟,3勝,三連単,52,389.0,2.6,151.7,0.5,9500
福島,ｵｰﾌﾟﾝ,三連複,88,388.2,12.5,31.1,2.4,47900
中山,1600万,三連単,191,388.2,1.7,222.4,0.3,6500
札幌,2勝,三連複,83,368.4,7.2,51.0,1.3,26800
東京,ｵｰﾌﾟﾝ,三連単,174,368.1,2.1,174.7,0.4,7700
新潟,ｵｰﾌﾟﾝ,三連単,122,363.0,3.0,120.8,0.5,10900
新潟,Ｇ３,三連単,61,352.1,1.6,214.8,0.3,5800
小倉,1000万,三連単,130,351.1,2.1,171.2,0.4,7300
東京,Ｇ１,三連複,80,342.5,7.5,45.7,1.4,27100
京都,OP(L),三連単,27,337.7,2.5,136.8,0.4,8700
中京,Ｇ２,三連複,32,335.0,15.6,21.4,2.9,57400
阪神,新馬,馬連,452,334.8,16.8,19.9,3.1,62000
函館,2勝,三連複,69,325.9,15.9,20.4,2.9,58000
小倉,新馬,馬連,179,314.2,17.0,18.4,3.1,61400
新潟,ｵｰﾌﾟﾝ,三連複,122,311.3,13.9,22.3,2.5,49500
京都,Ｇ２,三連複,50,309.4,18.0,17.2,3.2,64600
福島,500万,三連単,635,308.2,1.6,189.4,0.3,5500
阪神,1600万,三連単,214,305.1,2.8,108.8,0.5,9500
新潟,新馬,馬連,232,303.4,14.0,21.7,2.5,49200
新潟,1勝,三連単,398,301.2,3.0,99.9,0.5,10100
中山,1600万,三連複,191,299.0,8.4,35.7,1.4,28600
京都,新馬,馬連,357,290.0,14.4,20.1,2.5,49700
福島,ｵｰﾌﾟﾝ,馬連,88,285.6,14.8,19.3,2.5,50600
新潟,Ｇ３,三連複,61,283.0,8.2,34.5,1.4,27200
東京,新馬,馬連,503,282.6,16.0,17.7,2.7,54800
京都,Ｇ１,馬連,41,273.2,12.2,22.4,2.0,40400
阪神,OP(L),三連単,56,269.1,5.4,50.2,0.9,17100
中京,OP(L),三連複,27,265.6,11.1,23.9,1.8,36100
中山,Ｇ２,三連単,83,265.3,2.0,132.1,0.3,6300
中山,Ｇ３,三連複,94,261.9,9.6,27.4,1.5,30700
新潟,1000万,三連複,144,261.4,11.8,22.1,1.9,38100
中山,Ｇ３,三連単,94,257.9,1.4,181.8,0.2,4300
新潟,3勝,馬連,52,257.2,14.4,17.8,2.3,46600
福島,未勝利,三連単,900,255.4,2.7,94.5,0.4,8300
小倉,2勝,三連複,119,253.7,16.0,15.9,2.6,51600
小倉,1600万,三連複,43,250.5,11.6,21.5,1.8,36600
新潟,1勝,三連複,398,248.8,12.1,20.6,1.9,37900
中京,Ｇ２,三連単,32,246.8,4.2,59.2,0.6,12600
函館,ｵｰﾌﾟﾝ,馬連,32,244.7,20.3,12.0,3.3,65400
阪神,1600万,三連複,214,242.2,10.7,22.5,1.7,33000
福島,未勝利,三連複,900,241.4,13.2,18.3,2.0,40900
小倉,1000万,三連複,130,238.6,7.7,31.0,1.2,23000
札幌,ｵｰﾌﾟﾝ,三連複,51,236.9,15.7,15.1,2.4,48500
新潟,1000万,三連単,144,236.3,2.5,92.8,0.4,7400
中京,新馬,馬連,205,236.3,15.1,15.6,2.3,46500
中山,3勝,三連複,105,232.7,7.6,30.5,1.1,22400
阪神,OP(L),馬連,56,232.2,20.5,11.3,3.2,64100
函館,新馬,三連単,141,230.8,2.6,88.8,0.4,7400
阪神,1勝,三連複,467,225.9,12.8,17.6,1.9,37900
新潟,1600万,三連単,53,225.4,1.3,179.2,0.2,3500
東京,Ｇ２,三連複,83,223.5,10.8,20.6,1.6,31400
東京,OP(L),馬連,57,222.4,12.3,18.1,1.8,35700
